Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4057595,1215,9
PART,1,4104919,1602,16
PART,2,3736054,3071,19
PART,3,3666325,305,4
PART,4,6529703,1893,29
PART,5,4661514,2368,19
PART,6,3991000,1306,8
PART,7,4929784,278,5
PART,8,4331271,9958,31
PART,9,6512973,7064,11
PART,0,4057054,1199,9
PART,1,4107703,1648,16
PART,2,3667163,1601,19
PART,3,3669865,286,4
PART,4,6511676,1627,29
PART,5,4651730,2242,19
PART,6,3942054,5084,8
PART,7,4929756,274,5
PART,8,4329972,9940,31
PART,9,6505406,6172,11
PART,0,4057567,1164,9
PART,1,4097135,1475,16
PART,2,3668973,1631,19
PART,3,3669973,285,5
PART,4,6507325,1593,29
PART,5,4648378,2225,19
PART,6,3942135,5096,8
PART,7,4929297,272,5
PART,8,4329973,9937,31
PART,9,6506405,6174,11
PART,0,4058352,1169,9
PART,1,4096730,1493,16
PART,2,3667973,1623,19
PART,3,3669568,283,5
PART,4,6508243,1588,29
PART,5,4651648,2242,19
PART,6,3942108,5092,8
PART,7,4928730,272,5
PART,8,4330189,9935,31
PART,9,6505460,6191,11
PART,0,4056622,1163,9
PART,1,4102351,1507,16
PART,2,3667838,1589,19
PART,3,3669649,282,5
PART,4,6508351,1600,29
PART,5,4650216,2246,19
PART,6,3941757,5086,8
PART,7,4929189,271,5
PART,8,4330109,9936,31
PART,9,6505703,6206,11
PART,0,4057000,1166,9
PART,1,4101460,1488,16
PART,2,3669297,1605,19
PART,3,3672081,283,5
PART,4,6507135,1598,29
PART,5,4652973,2244,19
PART,6,3942135,5097,8
PART,7,4928838,272,5
PART,8,4330027,9936,31
PART,9,6505649,6188,11
PART,0,4057811,1168,9
PART,1,4098243,1500,16
PART,2,3669000,1611,19
PART,3,3670000,285,5
PART,4,6505757,1585,29
PART,5,4654054,2261,19
PART,6,3942216,5089,8
PART,7,4929162,273,5
PART,8,4330028,9937,31
PART,9,6504946,6220,11
PART,0,4056595,1170,9
PART,1,4096324,1502,17
PART,2,3667648,1591,19
PART,3,3670351,286,4
PART,4,6506433,1592,29
PART,5,4652622,2259,19
PART,6,3941946,5092,8
PART,7,4929054,272,5
PART,8,4329838,9940,31
PART,9,6504351,6183,11
PART,0,4059838,1166,9
PART,1,4104216,1440,16
PART,2,3669675,1600,19
PART,3,3669919,285,5
PART,4,6507000,1593,29
PART,5,4654837,2245,19
PART,6,3942108,5084,8
PART,7,4929352,273,5
PART,8,4330325,9938,31
PART,9,6506865,6192,11
PART,0,4058108,1169,9
PART,1,4106946,1506,16
PART,2,3667919,1609,19
PART,3,3672054,283,4
PART,4,6505243,1587,29
PART,5,4652324,2258,19
PART,6,3942622,5094,8
PART,7,4929486,273,5
PART,8,4330271,9937,31
PART,9,6505297,6163,11
PART,0,4058595,1170,9
PART,1,4101135,1453,16
PART,2,3717595,1587,19
PART,3,3670189,286,4
PART,4,6510486,1599,29
PART,5,4654811,2263,19
PART,6,3942432,5085,8
PART,7,4929027,272,5
PART,8,4330243,9940,31
PART,9,6507514,6131,11
PART,0,4060270,1171,9
PART,1,4102054,1478,16
PART,2,3669054,1611,19
PART,3,3669811,285,5
PART,4,6507135,1603,29
PART,5,4653648,2243,19
PART,6,3943054,5094,8
PART,7,4929243,273,5
PART,8,4329865,9942,31
PART,9,6505460,6164,11
PART,0,4057433,1168,9
PART,1,4101081,1497,16
PART,2,3670190,1613,19
PART,3,3672324,286,4
PART,4,6509109,1595,29
PART,5,4654676,2260,19
PART,6,3943540,5096,8
PART,7,4929027,273,5
PART,8,4329838,9939,31
PART,9,6508054,6175,11
PART,0,4058514,1169,9
PART,1,4097324,1494,16
PART,2,3668811,1585,19
PART,3,3672649,285,4
PART,4,6507270,1595,29
PART,5,4654081,2264,19
PART,6,3946919,5101,8
PART,7,4928973,273,5
PART,8,4330351,9940,31
PART,9,6507190,6137,11
PART,0,4059000,1167,9
PART,1,4102216,1436,16
PART,2,3668351,1607,19
PART,3,3675135,286,5
PART,4,6507837,1601,29
PART,5,4656838,2251,19
PART,6,3951622,5096,8
PART,7,4929054,270,5
PART,8,4329648,9939,31
PART,9,6507027,6141,11
PART,0,4057622,1171,9
PART,1,4098189,1452,16
