Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4062729,1207,9
PART,1,4051703,1639,16
PART,2,3924676,3073,19
PART,3,3670081,302,4
PART,4,6536216,1952,29
PART,5,4665838,2367,19
PART,6,3990243,1306,8
PART,7,4928784,277,5
PART,8,4329540,9957,31
PART,9,6511108,7060,11
PART,0,4060837,1197,9
PART,1,4045784,1484,16
PART,2,3780108,1783,19
PART,3,3669649,287,4
PART,4,6508594,1623,29
PART,5,4658946,2295,19
PART,6,3941757,5097,8
PART,7,4928595,269,5
PART,8,4328000,9939,31
PART,9,6508730,6817,11
PART,0,4059108,1136,9
PART,1,4060703,1437,16
PART,2,3779243,1782,19
PART,3,3672081,286,4
PART,4,6506540,1612,29
PART,5,4657216,2296,19
PART,6,3942081,5086,8
PART,7,4929027,273,5
PART,8,4328054,9937,31
PART,9,6508000,6817,11
PART,0,4058217,1136,9
PART,1,4043892,1399,16
PART,2,3779270,1781,19
PART,3,3669865,287,4
PART,4,6507676,1612,29
PART,5,4655000,2295,19
PART,6,3941892,5079,8
PART,7,4928541,269,5
PART,8,4327730,9938,31
PART,9,6508162,6818,11
PART,0,4057892,1136,9
PART,1,4042081,1442,16
PART,2,3778892,1779,19
PART,3,3669945,283,4
PART,4,6506675,1610,29
PART,5,4655027,2295,19
PART,6,3941757,5098,8
PART,7,4928838,267,5
PART,8,4328054,9935,31
PART,9,6508216,6818,11
PART,0,4058675,1135,9
PART,1,4041162,1439,16
PART,2,3778432,1781,19
PART,3,3666378,287,4
PART,4,6506811,1605,29
PART,5,4657162,2292,19
PART,6,3942189,5095,8
PART,7,4928378,268,5
PART,8,4328054,9936,31
PART,9,6507757,6818,11
PART,0,4061378,1139,9
PART,1,4064810,1445,16
PART,2,3779730,1786,19
PART,3,3670459,287,4
PART,4,6507271,1605,29
PART,5,4655649,2291,19
PART,6,3941865,5085,8
PART,7,4928298,268,5
PART,8,4327919,9936,31
PART,9,6508919,6802,11
PART,0,4058487,1130,9
PART,1,4074216,1430,16
PART,2,3778190,1771,19
PART,3,3669675,285,4
PART,4,6509135,1615,29
PART,5,4655027,2295,19
PART,6,3941729,5092,8
PART,7,4928568,269,5
PART,8,4328081,9937,31
PART,9,6508757,6817,11
PART,0,4059729,1136,9
PART,1,4069919,1434,16
PART,2,3779271,1769,19
PART,3,3669108,285,4
PART,4,6508784,1608,29
PART,5,4658703,2286,19
PART,6,3941567,5094,8
PART,7,4928757,270,5
PART,8,4328324,9935,31
PART,9,6509379,6818,11
PART,0,4058892,1133,9
PART,1,4043621,1440,16
PART,2,3780243,1773,19
PART,3,3670217,285,4
PART,4,6508027,1614,29
PART,5,4659405,2287,19
PART,6,3941460,5094,8
PART,7,4928919,275,5
PART,8,4328027,9934,31
PART,9,6511000,6821,11
PART,0,4059216,1133,9
PART,1,4083054,1436,16
PART,2,3779136,1763,19
PART,3,3670081,282,4
PART,4,6505838,1611,29
PART,5,4656811,2289,19
PART,6,3941865,5094,8
PART,7,4928622,268,5
PART,8,4327973,9937,31
PART,9,6512540,6819,11
PART,0,4059784,1133,9
PART,1,4049351,1437,16
PART,2,3864081,1770,19
PART,3,3669487,285,4
PART,4,6507541,1610,29
PART,5,4658865,2295,19
PART,6,3942487,5094,8
PART,7,4929081,275,5
PART,8,4328081,9935,31
PART,9,6510622,6819,11
PART,0,4060378,1136,9
PART,1,4049513,1435,16
PART,2,3863757,1763,19
PART,3,3669730,287,4
PART,4,6507514,1606,29
PART,5,4656405,2285,19
PART,6,3946783,5103,8
PART,7,4928784,268,5
PART,8,4328297,9938,31
PART,9,6509730,6819,11
PART,0,4059568,1136,9
PART,1,4042703,1444,16
PART,2,3779271,1766,19
PART,3,3669757,285,4
PART,4,6505514,1607,29
PART,5,4657568,2292,19
PART,6,3946702,5084,8
PART,7,4928432,269,5
PART,8,4328433,9939,31
PART,9,6512271,6820,11
PART,0,4059594,1135,9
PART,1,4045864,1441,16
PART,2,3780919,1779,19
PART,3,3665621,286,4
PART,4,6506351,1609,29
PART,5,4657433,2293,19
PART,6,3951135,5086,8
PART,7,4928541,269,5
PART,8,4327945,9939,31
PART,9,6509973,6801,11
PART,0,4060271,1139,9
PART,1,4050433,1412,16
PART,2,3779567,1772,19
PART,3,3670135,285,4
PART,4,6506541,1610,29
PART,5,4656973,2295,19
PART,6,3956514,5086,8
PART,7,4928649,269,5
PART,8,4327946,9938,31
PART,9,6510216,6818,11
PART,0,4059541,1140,9
PART,1,4050649,1437,16
PART,2,3863243,1759,19
PART,3,3665487,286,4
PART,4,6506081,1606,29
PART,5,4657865,2295,19
PART,6,3954432,5085,8
PART,7,4928649,269,5
PART,8,4328000,9939,31
PART,9,6509541,6817,11
PART,0,4057919,1135,9
PART,1,4045594,1445,16
PART,2,3864000,1777,19
PART,3,3669838,287,4
PART,4,6507865,1610,29
PART,5,4657648,2293,19
PART,6,3954946,5087,8
PART,7,4929108,266,5
PART,8,4328081,9936,31
PART,9,6510811,6819,11
PART,0,4059730,1139,9
PART,1,4067297,1437,16
PART,2,3779973,1783,19
PART,3,3669811,287,4
PART,4,6506622,1608,29
PART,5,4657514,2293,19
PART,6,3954297,5096,8
PART,7,4928405,269,5
PART,8,4328027,9938,31
PART,9,6512649,6819,11
PART,0,4059594,1135,9
PART,1,4079540,1434,16
PART,2,3781676,1782,19
PART,3,3669756,285,4
PART,4,6506054,1603,29
PART,5,4658730,2293,19
PART,6,3955541,5086,8
PART,7,4929000,269,5
PART,8,4328135,9939,31
PART,9,6509378,6822,11
PART,0,4060081,1136,9
PART,1,4061108,1425,16
PART,2,3862594,1770,19
PART,3,3669865,289,4
PART,4,6506379,1603,29
PART,5,4657000,2292,19
PART,6,3954622,5101,8
PART,7,4928649,269,5
PART,8,4327757,9937,31
PART,9,6511729,6818,11
PART,0,4059270,1133,9
PART,1,4064297,1428,16
PART,2,3781433,1776,19
PART,3,3670216,290,4
PART,4,6507649,1606,29
PART,5,4657541,2293,19
PART,6,3954378,5098,8
PART,7,4928351,269,5
PART,8,4327811,9936,31
PART,9,6511892,6819,11
PART,0,4058973,1136,9
PART,1,4063568,1424,16
PART,2,3780108,1770,19
PART,3,3670027,285,4
PART,4,6507919,1611,29
PART,5,4655378,2295,19
PART,6,3954865,5094,8
PART,7,4929000,268,5
PART,8,4327838,9938,31
PART,9,6510054,6819,11
PART,0,4060811,1137,9
PART,1,4080703,1436,16
PART,2,3779594,1772,19
PART,3,3669811,286,4
PART,4,6506595,1609,29
PART,5,4656568,2286,19
PART,6,3958054,5097,8
PART,7,4928406,268,5
PART,8,4328271,9936,31
PART,9,6509703,6818,11
PART,0,4060243,1137,9
PART,1,4045486,1442,16
PART,2,3865784,1772,19
PART,3,3669864,286,4
PART,4,6509217,1599,29
PART,5,4657270,2290,19
PART,6,3954621,5095,8
PART,7,4928271,269,5
PART,8,4328433,9935,31
PART,9,6513865,6819,11
PART,0,4059756,1136,9
PART,1,4066271,1438,16
PART,2,3780486,1770,19
PART,3,3669541,286,4
PART,4,6506243,1607,29
PART,5,4658135,2293,19
PART,6,3955027,5085,8
PART,7,4928568,269,5
PART,8,4328405,9936,31
PART,9,6511081,6819,11
PART,0,4059730,1136,9
PART,1,4049054,1433,16
PART,2,3781946,1781,19
PART,3,3669784,286,4
PART,4,6508189,1607,29
PART,5,4658378,2291,19
PART,6,3955163,5094,8
PART,7,4928568,265,5
PART,8,4328162,9939,31
PART,9,6508703,6817,11
PART,0,4058054,1135,9
PART,1,4050351,1440,16
PART,2,3780487,1781,19
PART,3,3669837,287,4
PART,4,6506054,1605,29
PART,5,4658487,2293,19
PART,6,3954730,5095,8
PART,7,4928973,269,5
PART,8,4328000,9939,31
PART,9,6511486,6819,11
PART,0,4059325,1133,9
PART,1,4070568,1435,16
PART,2,3866054,1770,19
PART,3,3669973,288,4
PART,4,6509243,1613,29
PART,5,4656432,2284,19
PART,6,3954595,5087,8
PART,7,4929054,271,5
PART,8,4328432,9939,31
PART,9,6510865,6814,11
PART,0,4059459,1137,9
PART,1,4047297,1442,16
PART,2,3780730,1774,19
PART,3,3672351,289,4
PART,4,6507486,1605,29
PART,5,4659000,2292,19
PART,6,3954621,5082,8
PART,7,4928595,267,5
PART,8,4328081,9939,31
PART,9,6510433,6815,11
PART,0,4060189,1136,9
PART,1,4070297,1438,16
PART,2,3864568,1771,19
PART,3,3665973,285,4
PART,4,6505514,1607,29
PART,5,4656027,2289,19
PART,6,3954595,5087,8
PART,7,4930270,268,5
PART,8,4327784,9939,31
PART,9,6512352,6818,11
PART,0,4060405,1136,9
PART,1,4055054,1435,16
PART,2,3779135,1762,19
PART,3,3670649,281,4
PART,4,6507379,1603,29
PART,5,4655217,2292,19
PART,6,3959703,5088,8
PART,7,4928973,267,5
PART,8,4327757,9939,31
PART,9,6510649,6818,11
PART,0,4059891,1137,9
PART,1,4047838,1442,16
PART,2,3780378,1766,19
PART,3,3669811,285,4
PART,4,6505811,1608,29
PART,5,4659649,2290,19
PART,6,3955514,5098,8
PART,7,4928730,268,5
PART,8,4327811,9939,31
PART,9,6508351,6818,11
PART,0,4058892,1136,9
PART,1,4048135,1449,16
PART,2,3778892,1770,19
PART,3,3669919,285,4
PART,4,6508838,1613,29
PART,5,4659540,2290,19
PART,6,3955460,5091,16
PART,7,4927892,268,5
PART,8,4328162,9937,31
PART,9,6511865,6821,11
PART,0,4064756,1140,9
PART,1,4046622,1440,16
PART,2,3779757,1776,19
PART,3,3669784,287,4
PART,4,6508702,1614,29
PART,5,4656865,2293,19
PART,6,3955054,5092,8
PART,7,4928811,265,5
PART,8,4328135,9935,31
PART,9,6513055,6817,11
PART,0,4060189,1133,9
PART,1,4049945,1432,16
PART,2,3780540,1773,19
PART,3,3669946,285,4
PART,4,6507298,1610,29
PART,5,4658892,2293,19
PART,6,3955513,5095,8
PART,7,4929027,269,5
PART,8,4328189,9936,31
PART,9,6509676,6818,11
PART,0,4060649,1133,9
PART,1,4051189,1434,16
PART,2,3863865,1765,19
PART,3,3672189,288,4
PART,4,6507432,1609,29
PART,5,4657622,2291,19
PART,6,3956189,5096,8
PART,7,4928838,268,5
PART,8,4328027,9935,31
PART,9,6509135,6817,11
PART,0,4060270,1134,9
PART,1,4059136,1436,16
PART,2,3780513,1775,19
PART,3,3669946,284,4
PART,4,6505756,1608,29
PART,5,4656973,2291,19
PART,6,3954513,5098,8
PART,7,4928702,268,5
PART,8,4328784,9934,31
PART,9,6511649,6815,11
PART,0,4060243,1134,9
PART,1,4074757,1429,16
PART,2,3780378,1776,19
PART,3,3672081,287,5
PART,4,6507757,1610,29
PART,5,4656865,2293,19
PART,6,3955162,5099,8
PART,7,4928838,273,5
PART,8,4328081,9936,31
PART,9,6510135,6819,11
PART,0,4059621,1137,9
PART,1,4052892,1437,16
PART,2,3780649,1775,19
PART,3,3669486,286,4
PART,4,6507892,1605,29
PART,5,4657190,2293,19
PART,6,3954405,5087,8
PART,7,4929054,271,5
PART,8,4328244,9935,31
PART,9,6510081,6818,11
PART,0,4062027,1138,9
PART,1,4055459,1431,16
PART,2,3778595,1757,19
PART,3,3665757,287,4
PART,4,6507811,1611,29
PART,5,4657297,2280,19
PART,6,3956324,5093,8
PART,7,4928811,271,5
PART,8,4328027,9939,31
PART,9,6510838,6816,11
PART,0,4060244,1136,9
PART,1,4048540,1430,16
PART,2,3864540,1777,19
PART,3,3669514,282,4
PART,4,6508135,1611,29
PART,5,4654757,2287,19
PART,6,3954648,5098,8
PART,7,4928487,268,5
PART,8,4327891,9939,31
PART,9,6514730,6815,11
PART,0,4060243,1135,9
PART,1,4069189,1434,16
PART,2,3780973,1782,19
PART,3,3669702,288,5
PART,4,6507919,1609,29
PART,5,4657054,2291,19
PART,6,3954946,5090,8
PART,7,4928919,268,5
PART,8,4328460,9939,31
PART,9,6510540,6816,11
PART,0,4058243,1136,9
PART,1,4050459,1395,16
PART,2,3780730,1789,19
PART,3,3670379,286,4
PART,4,6506838,1612,29
PART,5,4656108,2294,19
PART,6,3954946,5087,8
PART,7,4928541,266,5
PART,8,4327892,9938,31
PART,9,6509649,6818,11
PART,0,4058324,1137,9
PART,1,4047811,1435,16
PART,2,3780216,1774,19
PART,3,3669595,283,4
PART,4,6505973,1606,29
PART,5,4659459,2293,19
PART,6,3955054,5086,8
PART,7,4928514,269,5
PART,8,4327865,9938,31
PART,9,6511189,6818,11
PART,0,4062162,1136,9
PART,1,4047973,1430,16
PART,2,3780433,1777,19
PART,3,3669919,288,4
PART,4,6505378,1606,29
PART,5,4656729,2294,19
PART,6,3916433,5092,8
PART,7,4928621,264,5
PART,8,4327973,9938,31
PART,9,6508460,6816,11
PART,0,4059270,1136,9
PART,1,4044459,1435,16
PART,2,3780162,1780,19
PART,3,3669784,288,4
PART,4,6505595,1605,29
PART,5,4658081,2291,19
PART,6,3868487,5070,8
PART,7,4928919,268,5
PART,8,4327892,9937,31
PART,9,6509649,6819,11
PART,0,4059919,1138,9
PART,1,4062135,1433,16
PART,2,3778973,1775,19
PART,3,3670108,287,4
PART,4,6507892,1605,29
PART,5,4659919,2286,19
PART,6,3868325,5071,8
PART,7,4928541,268,5
PART,8,4328027,9939,31
PART,9,6509621,6819,11
PART,0,4059270,1134,9
PART,1,4064919,1401,16
PART,2,3780892,1762,19
PART,3,3669865,285,4
PART,4,6508865,1613,29
PART,5,4656946,2286,19
PART,6,3869136,5084,8
PART,7,4928784,268,5
PART,8,4328135,9936,31
PART,9,6508027,6818,11
PART,0,4059892,1137,9
PART,1,4047270,1445,16
PART,2,3780108,1773,19
PART,3,3666027,286,5
PART,4,6507487,1606,29
PART,5,4658486,2286,19
PART,6,3868973,5084,8
PART,7,4929379,271,5
PART,8,4328540,9936,31
PART,9,6511433,6818,11
PART,0,4058649,1134,9
PART,1,4068649,1440,16
PART,2,3780000,1770,19
PART,3,3669703,288,4
PART,4,6506000,1606,29
PART,5,4654135,2289,19
PART,6,3868919,5075,8
PART,7,4928730,269,5
PART,8,4328054,9935,31
PART,9,6512297,6820,11
PART,0,4061622,1136,9
PART,1,4046676,1441,16
PART,2,3781135,1782,19
PART,3,3669784,285,4
PART,4,6506865,1603,29
PART,5,4659027,2297,19
PART,6,3868595,5084,8
PART,7,4928514,266,5
PART,8,4327675,9940,31
PART,9,6507703,6808,11
PART,0,4059649,1136,9
PART,1,4043163,1439,16
PART,2,3779892,1776,19
PART,3,3670513,291,4
PART,4,6506946,1605,29
PART,5,4657460,2290,19
PART,6,3868162,5071,8
PART,7,4928892,268,5
PART,8,4327919,9939,31
PART,9,6510811,6809,11
PART,0,4058946,1136,9
PART,1,4046892,1437,16
PART,2,3863757,1778,19
PART,3,3670406,288,4
PART,4,6505190,1603,29
PART,5,4657702,2291,19
PART,6,3868568,5078,8
PART,7,4928622,269,5
PART,8,4328189,9938,31
PART,9,6513162,6818,11
PART,0,4058027,1137,9
PART,1,4051919,1443,16
PART,2,3780433,1776,19
PART,3,3670189,287,4
PART,4,6506081,1608,29
PART,5,4659108,2285,19
PART,6,3868729,5083,8
PART,7,4929054,269,5
PART,8,4328000,9939,31
PART,9,6509379,6817,11
PART,0,4057811,1136,9
PART,1,4043811,1436,16
PART,2,3779838,1780,19
PART,3,3670135,286,4
PART,4,6504622,1608,29
PART,5,4658892,2287,19
PART,6,3869513,5075,8
PART,7,4929108,268,5
PART,8,4327892,9939,31
PART,9,6511649,6807,11
PART,0,4059162,1140,9
PART,1,4049757,1441,16
PART,2,3866432,1766,19
PART,3,3669676,286,4
PART,4,6510514,1613,29
PART,5,4655189,2286,19
PART,6,3868405,5069,8
PART,7,4929000,267,5
PART,8,4328000,9938,31
PART,9,6511054,6819,11
PART,0,4060297,1136,9
PART,1,4061325,1437,16
PART,2,3779811,1767,19
PART,3,3669567,288,4
PART,4,6506270,1602,29
PART,5,4657135,2291,19
PART,6,3868892,5068,8
PART,7,4930162,270,5
PART,8,4328189,9939,31
PART,9,6510811,6802,11
PART,0,4061676,1139,9
PART,1,4056892,1434,16
PART,2,3779703,1766,19
PART,3,3666054,289,4
PART,4,6506054,1605,29
PART,5,4656648,2291,19
PART,6,3869108,5074,8
PART,7,4928756,269,5
PART,8,4328135,9939,31
PART,9,6511324,6789,11
PART,0,4061622,1139,9
PART,1,4067378,1446,16
PART,2,3780162,1772,19
PART,3,3667298,288,4
PART,4,6507054,1606,29
PART,5,4655730,2287,19
PART,6,3868730,5085,8
PART,7,4928838,268,5
PART,8,4327973,9935,31
PART,9,6509567,6779,11
PART,0,4061351,1146,9
PART,1,4051298,1447,16
PART,2,3781621,1772,19
PART,3,3669865,288,4
PART,4,6506540,1603,29
PART,5,4655703,2289,19
PART,6,3869027,5073,8
PART,7,4929162,269,5
PART,8,4328189,9935,31
PART,9,6509757,6760,11
PART,0,4060946,1147,9
PART,1,4043730,1449,16
PART,2,3865135,1762,19
PART,3,3668703,286,4
PART,4,6506811,1604,29
PART,5,4656433,2294,19
PART,6,3868513,5073,8
PART,7,4929406,275,5
PART,8,4327892,9936,31
PART,9,6510649,6749,11
PART,0,4060351,1142,9
PART,1,4071378,1453,16
PART,2,3780162,1762,19
PART,3,3665405,288,4
PART,4,6509460,1610,29
PART,5,4658919,2292,19
PART,6,3869433,5075,8
PART,7,4928946,268,5
PART,8,4328054,9934,31
PART,9,6509730,6748,11
PART,0,4060594,1151,9
PART,1,4049352,1453,16
PART,2,3863000,1759,19
PART,3,3669838,288,4
PART,4,6506811,1610,29
PART,5,4656351,2295,19
PART,6,3869000,5083,8
PART,7,4930432,276,5
PART,8,4328135,9935,31
PART,9,6510702,6738,11
PART,0,4061108,1155,9
PART,1,4068379,1455,16
PART,2,3780000,1769,19
PART,3,3669730,288,4
PART,4,6508162,1609,29
PART,5,4655189,2287,19
PART,6,3868892,5082,8
PART,7,4928864,268,5
PART,8,4328135,9939,31
PART,9,6509081,6747,11
PART,0,4061243,1154,9
PART,1,4068865,1452,16
PART,2,3780594,1772,19
PART,3,3669784,289,4
PART,4,6508000,1605,29
PART,5,4657324,2283,19
PART,6,3868189,5074,8
PART,7,4928703,269,5
PART,8,4327892,9936,31
PART,9,6512297,6767,11
PART,0,4060622,1155,9
PART,1,4050865,1451,16
PART,2,3780919,1782,19
PART,3,3669946,286,4
PART,4,6506811,1606,29
PART,5,4657702,2294,19
PART,6,3869189,5078,8
PART,7,4929270,274,5
PART,8,4328108,9939,31
PART,9,6509217,6735,11
PART,0,4061027,1157,9
PART,1,4045325,1442,16
PART,2,3780217,1767,19
PART,3,3669459,285,4
PART,4,6508460,1604,29
PART,5,4657568,2293,19
