Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4062919,1203,9
PART,1,4067514,1632,16
PART,2,3838675,3073,19
PART,3,3670324,304,4
PART,4,6533703,1953,29
PART,5,4663135,2366,19
PART,6,3990351,1322,8
PART,7,4928784,268,5
PART,8,4329378,9957,31
PART,9,6511271,7059,11
PART,0,4061297,1197,9
PART,1,4048649,1484,16
PART,2,3780135,1790,19
PART,3,3669351,285,4
PART,4,6508595,1630,29
PART,5,4654757,2292,19
PART,6,3941352,5096,8
PART,7,4928379,269,5
PART,8,4327891,9938,31
PART,9,6508378,6812,11
PART,0,4059702,1137,9
PART,1,4062217,1445,16
PART,2,3863406,1789,19
PART,3,3670162,284,4
PART,4,6504405,1610,29
PART,5,4656946,2290,19
PART,6,3942108,5092,8
PART,7,4928649,269,5
PART,8,4328108,9936,31
PART,9,6507892,6827,11
PART,0,4064622,1137,9
PART,1,4056406,1418,16
PART,2,3779325,1782,19
PART,3,3669702,285,4
PART,4,6507675,1609,29
PART,5,4654730,2282,19
PART,6,3941865,5093,8
PART,7,4928946,268,5
PART,8,4328108,9935,31
PART,9,6508622,6824,11
PART,0,4058324,1137,9
PART,1,4040162,1433,16
PART,2,3779162,1776,19
PART,3,3669675,284,4
PART,4,6507865,1607,29
PART,5,4653811,2283,19
PART,6,3942325,5092,8
PART,7,4928595,268,5
PART,8,4328081,9937,31
PART,9,6507000,6828,11
PART,0,4060027,1137,9
PART,1,4042000,1430,16
PART,2,3863351,1777,19
PART,3,3669730,282,4
PART,4,6506460,1612,29
PART,5,4653594,2287,19
PART,6,3941892,5087,8
PART,7,4928784,270,5
PART,8,4328054,9936,31
PART,9,6506892,6826,11
PART,0,4058811,1132,9
PART,1,4039486,1431,16
PART,2,3778297,1758,19
PART,3,3665405,283,4
PART,4,6505622,1614,29
PART,5,4655756,2289,19
PART,6,3942594,5094,8
PART,7,4928837,269,5
PART,8,4328324,9935,31
PART,9,6508594,6810,11
PART,0,4060433,1137,9
PART,1,4063460,1433,16
PART,2,3778486,1773,19
PART,3,3665568,286,4
PART,4,6507351,1610,29
PART,5,4654946,2284,19
PART,6,3941703,5092,8
PART,7,4928730,265,5
PART,8,4328081,9935,31
PART,9,6509162,6828,11
PART,0,4059460,1134,9
PART,1,4043189,1429,16
PART,2,3778081,1754,19
PART,3,3669433,286,4
PART,4,6507838,1621,29
PART,5,4654919,2287,19
PART,6,3941648,5090,8
PART,7,4929162,269,5
PART,8,4328055,9936,31
PART,9,6508919,6810,11
PART,0,4058189,1135,9
PART,1,4054622,1435,16
PART,2,3779648,1762,19
PART,3,3670622,288,4
PART,4,6508432,1615,29
PART,5,4654621,2278,19
PART,6,3942648,5092,8
PART,7,4928567,269,5
PART,8,4328298,9935,31
PART,9,6508378,6827,11
PART,0,4057757,1137,9
PART,1,4058351,1388,16
PART,2,3779513,1769,19
PART,3,3669648,286,4
PART,4,6509298,1612,29
PART,5,4657351,2286,19
PART,6,3942891,5087,8
PART,7,4928757,273,5
PART,8,4327757,9938,31
PART,9,6508162,6828,11
PART,0,4058540,1137,9
PART,1,4039594,1428,16
PART,2,3780081,1766,19
PART,3,3669919,282,4
PART,4,6507811,1612,29
PART,5,4654730,2282,19
PART,6,3942784,5083,8
PART,7,4928676,269,5
PART,8,4327945,9937,31
PART,9,6507297,6827,11
PART,0,4059676,1133,9
PART,1,4057784,1403,16
PART,2,3780108,1781,19
PART,3,3669567,288,4
PART,4,6506325,1611,29
PART,5,4653243,2272,19
PART,6,3943567,5097,8
PART,7,4928784,269,5
PART,8,4328190,9939,31
PART,9,6510243,6809,11
PART,0,4060162,1137,9
PART,1,4047540,1431,16
PART,2,3779270,1777,19
PART,3,3669487,281,4
PART,4,6509514,1612,29
PART,5,4653649,2285,19
PART,6,3946946,5096,8
PART,7,4928702,275,5
PART,8,4328081,9938,31
PART,9,6509027,6809,11
PART,0,4058811,1136,9
PART,1,4056702,1422,16
PART,2,3779244,1769,19
PART,3,3669946,285,4
PART,4,6508027,1612,29
PART,5,4655028,2288,19
PART,6,3951081,5092,8
PART,7,4928648,263,5
PART,8,4327838,9939,31
PART,9,6509054,6827,11
PART,0,4059918,1140,9
PART,1,4059000,1419,16
PART,2,3779379,1776,19
PART,3,3669622,283,4
PART,4,6508325,1615,29
PART,5,4654433,2285,19
PART,6,3954594,5093,8
PART,7,4928865,268,5
PART,8,4327730,9939,31
PART,9,6508811,6825,11
PART,0,4059190,1138,9
PART,1,4043594,1433,16
PART,2,3778379,1766,19
PART,3,3669865,285,4
PART,4,6507054,1610,29
PART,5,4655541,2288,19
PART,6,3955271,5091,8
PART,7,4928352,268,5
PART,8,4328027,9940,31
PART,9,6507919,6811,11
PART,0,4059784,1137,9
PART,1,4046757,1427,16
PART,2,3780270,1768,19
PART,3,3670757,282,4
PART,4,6508379,1611,29
PART,5,4656730,2288,19
PART,6,3954325,5088,8
PART,7,4928595,268,5
PART,8,4328027,9939,31
PART,9,6508702,6808,11
PART,0,4059108,1140,9
PART,1,4042054,1387,16
PART,2,3779189,1772,19
PART,3,3669649,285,4
PART,4,6506135,1610,29
PART,5,4656352,2278,19
PART,6,3955270,5086,8
PART,7,4928433,268,5
PART,8,4328135,9939,31
PART,9,6508487,6807,11
PART,0,4059621,1140,9
PART,1,4057541,1424,16
PART,2,3778486,1773,19
PART,3,3669784,283,4
PART,4,6506405,1613,29
PART,5,4654136,2287,19
PART,6,3954567,5098,8
PART,7,4928838,268,5
PART,8,4327730,9939,31
PART,9,6509514,6824,11
PART,0,4061649,1136,9
PART,1,4062811,1429,16
PART,2,3860865,1758,19
PART,3,3669297,282,4
PART,4,6507324,1618,29
PART,5,4655459,2282,19
PART,6,3954595,5093,8
PART,7,4928486,268,5
PART,8,4327784,9937,31
PART,9,6506379,6825,11
PART,0,4058919,1140,9
PART,1,4057838,1418,16
PART,2,3778406,1766,19
PART,3,3669946,282,4
PART,4,6505649,1609,29
PART,5,4654919,2279,19
PART,6,3954675,5085,8
PART,7,4928703,266,5
PART,8,4328000,9938,31
PART,9,6508757,6810,11
PART,0,4059973,1139,9
PART,1,4045406,1427,16
PART,2,3779108,1774,19
PART,3,3669622,287,4
PART,4,6505351,1605,29
PART,5,4655189,2286,19
PART,6,3954649,5103,8
PART,7,4928837,269,5
PART,8,4328135,9938,31
PART,9,6509000,6826,11
PART,0,4059702,1140,9
PART,1,4064730,1400,16
PART,2,3862838,1780,19
PART,3,3665838,285,4
PART,4,6507405,1607,29
PART,5,4655945,2281,19
PART,6,3954757,5087,8
PART,7,4928487,268,5
PART,8,4328108,9939,31
PART,9,6508972,6827,11
PART,0,4059864,1138,9
PART,1,4043433,1387,16
PART,2,3778243,1765,19
PART,3,3669594,284,4
PART,4,6508811,1610,29
PART,5,4656810,2287,19
PART,6,3955216,5094,8
PART,7,4928270,268,5
PART,8,4328216,9936,31
PART,9,6509352,6826,11
PART,0,4058838,1139,9
PART,1,4075189,1427,16
PART,2,3778865,1772,19
PART,3,3673189,288,4
PART,4,6506837,1610,29
PART,5,4654811,2282,19
PART,6,3955162,5083,8
PART,7,4929000,269,5
PART,8,4328027,9936,31
PART,9,6508081,6828,11
PART,0,4058919,1134,9
PART,1,4042730,1389,16
PART,2,3778054,1764,19
PART,3,3669649,283,4
PART,4,6506568,1615,29
PART,5,4654460,2286,19
PART,6,3954594,5098,8
PART,7,4929000,268,5
PART,8,4328000,9936,31
PART,9,6507108,6811,11
PART,0,4061703,1134,9
PART,1,4043432,1430,16
PART,2,3779297,1765,19
PART,3,3667406,287,4
PART,4,6506838,1610,29
PART,5,4653621,2278,19
PART,6,3954783,5090,8
PART,7,4928811,269,5
PART,8,4328352,9935,31
PART,9,6508459,6810,11
PART,0,4060540,1140,9
PART,1,4042324,1433,16
PART,2,3780379,1773,19
PART,3,3669811,284,4
PART,4,6506865,1606,29
PART,5,4653541,2278,19
PART,6,3955270,5086,8
PART,7,4928541,270,5
PART,8,4328244,9935,31
PART,9,6508919,6823,11
PART,0,4058270,1137,9
PART,1,4062919,1425,16
PART,2,3779892,1776,19
PART,3,3669514,287,4
PART,4,6506649,1607,29
PART,5,4655459,2275,19
PART,6,3954297,5083,8
PART,7,4928757,267,5
PART,8,4327837,9936,31
PART,9,6509297,6827,11
PART,0,4060000,1137,9
PART,1,4044648,1440,16
PART,2,3863378,1777,19
PART,3,3669621,284,4
PART,4,6505703,1606,29
PART,5,4656676,2293,19
PART,6,3954676,5100,8
PART,7,4928513,268,5
PART,8,4327837,9939,31
PART,9,6508892,6825,11
PART,0,4059703,1139,9
PART,1,4044973,1418,16
PART,2,3779784,1779,19
PART,3,3670217,284,4
PART,4,6508000,1605,29
PART,5,4655649,2288,19
PART,6,3954783,5087,8
PART,7,4929189,269,5
PART,8,4328135,9939,31
PART,9,6508513,6826,11
PART,0,4058595,1137,9
PART,1,4042811,1378,16
PART,2,3864486,1765,19
PART,3,3669702,285,4
PART,4,6506243,1605,29
PART,5,4655541,2291,19
PART,6,3954919,5094,8
PART,7,4928405,268,5
PART,8,4328027,9939,31
PART,9,6508838,6827,11
PART,0,4059540,1140,9
PART,1,4060216,1399,16
PART,2,3779486,1770,19
PART,3,3670946,291,4
PART,4,6508406,1612,29
PART,5,4658676,2289,19
PART,6,3955189,5100,8
PART,7,4929081,269,5
PART,8,4327865,9940,31
PART,9,6509594,6826,11
PART,0,4059648,1140,9
PART,1,4040784,1422,16
PART,2,3778783,1772,19
PART,3,3669460,285,4
PART,4,6507838,1614,29
PART,5,4653621,2284,19
PART,6,3955000,5079,8
PART,7,4928811,269,5
PART,8,4327946,9939,31
PART,9,6509081,6826,11
PART,0,4059135,1136,9
PART,1,4061892,1419,16
PART,2,3862217,1767,19
PART,3,3665811,288,4
PART,4,6506892,1610,29
PART,5,4655352,2283,19
PART,6,3954649,5093,8
PART,7,4928513,270,5
PART,8,4327757,9939,31
PART,9,6507460,6817,11
PART,0,4060270,1137,9
PART,1,4058432,1425,16
PART,2,3778406,1766,19
PART,3,3670541,284,4
PART,4,6506351,1615,29
PART,5,4654865,2288,19
PART,6,3954378,5090,8
PART,7,4928837,266,5
PART,8,4327702,9933,31
PART,9,6508595,6827,11
PART,0,4065054,1141,9
PART,1,4056595,1416,16
PART,2,3778730,1772,19
PART,3,3669541,284,4
PART,4,6505865,1609,29
PART,5,4654946,2292,19
PART,6,3955162,5094,8
PART,7,4928649,268,5
PART,8,4328595,9936,31
PART,9,6508514,6826,11
PART,0,4058675,1136,9
PART,1,4061514,1423,16
PART,2,3777270,1758,19
PART,3,3669541,287,4
PART,4,6508270,1610,29
PART,5,4656541,2285,19
PART,6,3955054,5092,8
PART,7,4928406,268,5
PART,8,4328378,9935,31
PART,9,6508622,6827,11
PART,0,4058649,1136,9
PART,1,4063108,1426,16
PART,2,3779027,1768,19
PART,3,3669649,287,4
PART,4,6508406,1612,29
PART,5,4655892,2277,19
PART,6,3954459,5077,8
PART,7,4928892,269,5
PART,8,4328405,9936,31
PART,9,6507865,6827,11
PART,0,4059000,1137,9
PART,1,4043648,1422,16
PART,2,3777946,1756,19
PART,3,3669513,286,4
PART,4,6507540,1616,29
PART,5,4653919,2286,19
PART,6,3954973,5087,8
PART,7,4928865,269,5
PART,8,4327892,9939,31
PART,9,6508433,6828,11
PART,0,4059973,1140,9
PART,1,4043081,1433,16
PART,2,3778649,1777,19
PART,3,3671325,285,4
PART,4,6505865,1610,29
PART,5,4653378,2288,19
PART,6,3955082,5088,8
PART,7,4928432,268,5
PART,8,4327946,9938,31
PART,9,6507000,6827,11
PART,0,4059460,1134,9
PART,1,4056729,1424,16
PART,2,3778622,1772,19
PART,3,3669649,287,4
PART,4,6506405,1616,29
PART,5,4655433,2280,19
PART,6,3955027,5100,8
PART,7,4928621,268,5
PART,8,4328000,9938,31
PART,9,6509054,6825,11
PART,0,4059675,1138,9
PART,1,4043270,1422,16
PART,2,3779405,1764,19
PART,3,3669784,288,4
PART,4,6506756,1611,29
PART,5,4657514,2282,19
PART,6,3954648,5098,8
PART,7,4928973,270,5
PART,8,4328000,9939,31
PART,9,6508676,6822,11
PART,0,4059892,1137,9
PART,1,4043622,1422,16
PART,2,3778568,1761,19
PART,3,3669811,284,4
PART,4,6506514,1614,29
PART,5,4654729,2284,19
PART,6,3954541,5097,8
PART,7,4928811,268,5
PART,8,4328135,9937,31
PART,9,6509568,6825,11
PART,0,4059297,1136,9
PART,1,4059541,1422,16
PART,2,3779541,1767,19
PART,3,3669459,284,4
PART,4,6506027,1603,29
PART,5,4656081,2285,19
PART,6,3916702,5105,8
PART,7,4928810,268,5
PART,8,4327919,9939,31
PART,9,6508162,6825,11
PART,0,4058811,1138,9
PART,1,4044406,1429,16
PART,2,3778352,1771,19
PART,3,3669865,285,4
PART,4,6506621,1603,29
PART,5,4657973,2280,19
PART,6,3868487,5074,8
PART,7,4928595,266,5
PART,8,4327892,9936,31
PART,9,6509216,6828,11
PART,0,4057891,1137,9
PART,1,4045702,1425,16
