Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4108864,9602,9
PART,1,4669595,54261,16
PART,2,5295757,22197,19
PART,3,3672702,14176,4
PART,4,6601054,7221,29
PART,5,4759837,34151,19
PART,6,3994405,42934,8
PART,7,4929622,632,5
PART,8,4331460,16485,31
PART,9,6518298,43447,11
PART,0,4103243,9622,9
PART,1,4672811,54553,16
PART,2,5300486,22244,19
PART,3,3672351,14173,4
PART,4,6604135,7242,29
PART,5,4755027,34083,19
PART,6,3943622,42659,8
PART,7,4929730,628,5
PART,8,4332270,16513,31
PART,9,6519216,43464,11
PART,0,4103270,9597,9
PART,1,4664460,54289,16
PART,2,5299297,22235,19
PART,3,3670460,14186,4
PART,4,6605351,7284,29
PART,5,4758162,34098,19
PART,6,3944162,42676,8
PART,7,4929919,617,5
PART,8,4332568,16510,31
PART,9,6518541,43468,11
PART,0,4103838,9614,9
PART,1,4673243,54426,16
PART,2,5402027,22378,19
PART,3,3666729,14194,4
PART,4,6602352,7241,29
PART,5,4758595,34085,19
PART,6,3944433,42638,8
PART,7,4930108,642,5
PART,8,4332243,16488,31
PART,9,6517027,43450,11
PART,0,4103054,9550,9
PART,1,4670811,54444,16
PART,2,5409595,22418,19
PART,3,3670459,14169,4
PART,4,6601054,7237,29
PART,5,4756567,34093,19
PART,6,3944162,42662,8
PART,7,4929297,623,5
PART,8,4332703,16517,31
PART,9,6517352,43452,11
PART,0,4105622,9646,9
PART,1,4663649,54300,16
PART,2,5303081,22265,19
PART,3,3670108,14169,4
PART,4,6607297,7326,29
PART,5,4758054,34180,19
PART,6,3944757,42681,8
PART,7,4929865,630,5
PART,8,4332108,16520,31
PART,9,6520622,43451,11
PART,0,4104810,9593,9
PART,1,4674000,54222,16
PART,2,5410135,22404,19
PART,3,3670432,14174,4
PART,4,6600216,7213,29
PART,5,4758568,34229,19
PART,6,3945000,42661,8
PART,7,4928892,622,5
PART,8,4332540,16516,31
PART,9,6519946,43428,11
PART,0,4102919,9561,9
PART,1,4665216,54263,16
PART,2,5299324,22236,19
PART,3,3670351,14199,4
PART,4,6600622,7210,29
PART,5,4760514,34183,19
PART,6,3944540,42673,8
PART,7,4929567,636,5
PART,8,4331487,16486,31
PART,9,6517000,43452,11
PART,0,4105945,9623,9
PART,1,4666000,54324,16
PART,2,5306919,22281,19
PART,3,3671189,14186,4
PART,4,6602378,7259,29
PART,5,4756297,34108,19
PART,6,3945729,42692,8
PART,7,4929027,621,5
PART,8,4332784,16495,31
