Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4057243,1215,9
PART,1,4103892,1577,16
PART,2,3733243,3071,19
PART,3,3671054,301,4
PART,4,6529946,1903,29
PART,5,4662162,2361,19
PART,6,3991541,1316,8
PART,7,4928892,272,5
PART,8,4331379,9955,31
PART,9,6510406,7061,11
PART,0,4058027,1204,9
PART,1,4102676,1630,16
PART,2,3666648,1595,19
PART,3,3672189,282,4
PART,4,6509973,1638,29
PART,5,4648405,2234,19
PART,6,3943027,5105,8
PART,7,4929243,274,5
PART,8,4330189,9940,31
PART,9,6506189,6158,11
PART,0,4056784,1167,9
PART,1,4097108,1464,16
PART,2,3668405,1631,19
PART,3,3669567,282,4
PART,4,6508460,1609,29
PART,5,4647919,2217,19
PART,6,3942162,5087,8
PART,7,4929108,274,5
PART,8,4330298,9937,31
PART,9,6505757,6172,11
PART,0,4057244,1167,9
PART,1,4095622,1471,16
PART,2,3668892,1633,19
PART,3,3670108,284,4
PART,4,6506108,1596,29
PART,5,4651783,2243,19
PART,6,3943054,5097,8
PART,7,4929271,269,5
PART,8,4330270,9936,31
PART,9,6505594,6139,11
PART,0,4057730,1169,9
PART,1,4096135,1478,16
PART,2,3668244,1599,19
PART,3,3670189,284,4
PART,4,6507270,1601,29
PART,5,4650459,2245,19
PART,6,3942784,5086,8
PART,7,4929432,278,5
PART,8,4330217,9942,31
PART,9,6506297,6207,11
PART,0,4058054,1166,9
PART,1,4095325,1459,16
PART,2,3669243,1616,19
PART,3,3672270,285,4
PART,4,6505757,1595,29
PART,5,4650189,2248,19
PART,6,3942271,5098,8
PART,7,4928837,272,5
PART,8,4330162,9939,31
PART,9,6506081,6190,11
PART,0,4057540,1164,9
PART,1,4101378,1468,16
PART,2,3718594,1607,19
PART,3,3670081,282,4
PART,4,6506297,1591,29
PART,5,4650703,2251,19
PART,6,3942594,5095,8
PART,7,4929162,273,5
PART,8,4330162,9935,31
PART,9,6505406,6208,11
PART,0,4057567,1169,9
PART,1,4096432,1475,16
PART,2,3667162,1587,19
PART,3,3672325,286,4
PART,4,6506406,1595,29
PART,5,4653460,2252,19
PART,6,3942486,5096,8
PART,7,4929243,272,5
PART,8,4330081,9940,31
PART,9,6505135,6139,11
PART,0,4060487,1166,9
PART,1,4098946,1470,16
PART,2,3667243,1590,19
PART,3,3672135,285,5
PART,4,6507460,1597,29
PART,5,4649702,2236,19
PART,6,3942811,5091,8
PART,7,4929297,273,5
PART,8,4330351,9938,31
PART,9,6505811,6138,11
PART,0,4056243,1172,9
PART,1,4096919,1440,16
PART,2,3668459,1614,19
PART,3,3669784,284,4
PART,4,6505676,1587,29
PART,5,4654162,2262,19
PART,6,3942702,5094,8
PART,7,4929351,272,5
PART,8,4330486,9938,31
PART,9,6506432,6171,11
PART,0,4058406,1172,9
PART,1,4100027,1440,16
PART,2,3666621,1589,19
PART,3,3672567,285,4
PART,4,6509676,1603,29
PART,5,4651648,2259,19
PART,6,3942081,5088,8
PART,7,4929946,278,5
PART,8,4330081,9938,31
PART,9,6505594,6170,11
PART,0,4058568,1172,9
PART,1,4096973,1463,16
PART,2,3716784,1617,19
PART,3,3669784,286,5
PART,4,6506730,1604,29
PART,5,4651243,2241,19
PART,6,3943162,5100,8
PART,7,4929432,273,5
PART,8,4329757,9941,31
PART,9,6505595,6105,11
PART,0,4058189,1173,9
PART,1,4100784,1469,16
PART,2,3668243,1612,19
PART,3,3672162,283,4
PART,4,6505568,1594,29
PART,5,4653027,2261,19
PART,6,3943811,5088,8
PART,7,4928703,273,5
PART,8,4329973,9939,31
PART,9,6505648,6135,11
PART,0,4058514,1170,9
PART,1,4103054,1478,16
PART,2,3667054,1585,19
PART,3,3672190,282,5
PART,4,6506513,1602,29
PART,5,4655054,2261,19
PART,6,3947540,5103,8
PART,7,4929298,273,5
PART,8,4330108,9940,31
PART,9,6505162,6122,11
PART,0,4057514,1173,9
PART,1,4097000,1420,16
PART,2,3668081,1612,19
PART,3,3671946,284,4
PART,4,6507108,1604,29
PART,5,4652027,2246,19
PART,6,3951459,5096,8
PART,7,4929109,270,5
PART,8,4329757,9940,31
PART,9,6506730,6139,11
PART,0,4057297,1171,9
PART,1,4099487,1473,16
PART,2,3668432,1610,19
PART,3,3672054,283,4
PART,4,6505163,1595,29
PART,5,4652298,2259,19
PART,6,3954270,5089,8
PART,7,4929108,272,5
PART,8,4329891,9941,31
PART,9,6504892,6112,11
PART,0,4057406,1175,9
PART,1,4094621,1483,16
PART,2,3666054,1573,19
PART,3,3671973,283,4
PART,4,6506054,1605,29
PART,5,4652649,2260,19
PART,6,3955433,5096,8
PART,7,4929405,272,5
PART,8,4330189,9936,31
PART,9,6504784,6088,11
PART,0,4057811,1170,9
PART,1,4096325,1454,16
PART,2,3669459,1617,19
PART,3,3672270,284,5
PART,4,6506594,1601,29
PART,5,4651189,2242,19
PART,6,3954757,5089,8
PART,7,4929540,272,5
PART,8,4330054,9942,31
PART,9,6505567,6102,11
PART,0,4058406,1169,9
PART,1,4095351,1441,16
PART,2,3668000,1612,19
PART,3,3672892,286,4
PART,4,6504027,1589,29
PART,5,4654135,2260,19
PART,6,3955027,5095,8
PART,7,4929432,272,5
PART,8,4330081,9941,31
PART,9,6505135,6113,11
PART,0,4058567,1173,9
PART,1,4100675,1478,16
PART,2,3667324,1585,19
PART,3,3669541,282,5
PART,4,6508216,1607,29
PART,5,4651216,2251,19
PART,6,3955973,5098,8
PART,7,4929568,276,5
PART,8,4329946,9941,31
PART,9,6506000,6114,11
PART,0,4057973,1169,9
PART,1,4099838,1460,16
