Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4050081,9012,9
PART,1,4224838,51675,16
PART,2,3889946,6167,19
PART,3,3669162,14121,4
PART,4,6574433,6722,29
PART,5,4714838,33629,19
PART,6,3990379,42806,8
PART,7,4928865,596,5
PART,8,4330811,16482,31
PART,9,6511703,43341,11
PART,0,4051000,9017,9
PART,1,4231054,51685,16
PART,2,3889108,6166,19
PART,3,3668811,14114,4
PART,4,6574595,6689,29
PART,5,4716892,33633,19
PART,6,3940811,42545,8
PART,7,4929054,589,5
PART,8,4331000,16452,31
PART,9,6510459,43255,11
PART,0,4049973,9035,9
PART,1,4228054,51650,16
PART,2,3893081,6175,19
PART,3,3669513,14117,4
PART,4,6574324,6684,29
PART,5,4716973,33598,19
PART,6,3940081,42527,8
PART,7,4928730,596,5
PART,8,4330757,11509,31
PART,9,6510730,43284,11
PART,0,4050189,9008,9
PART,1,4229514,51899,16
PART,2,3888783,6158,19
PART,3,3669298,14108,4
PART,4,6576675,6697,29
PART,5,4717756,33637,19
PART,6,3940406,42534,8
PART,7,4928783,605,5
PART,8,4330729,11488,31
PART,9,6510432,43267,11
PART,0,4048622,8980,9
PART,1,4229460,51717,16
PART,2,3891189,6173,19
PART,3,3668838,14102,4
PART,4,6576540,6705,29
PART,5,4716378,33548,19
PART,6,3940784,42539,8
PART,7,4928730,595,5
PART,8,4330973,11508,31
PART,9,6509730,43218,11
PART,0,4051000,8988,9
PART,1,4226783,51760,16
PART,2,3891675,6175,19
PART,3,3668784,14108,4
PART,4,6575676,6718,29
PART,5,4715594,33586,19
PART,6,3940459,42528,8
PART,7,4929487,600,5
PART,8,4331541,11500,31
PART,9,6510405,43310,11
PART,0,4050486,9014,9
PART,1,4226595,51612,16
PART,2,3892108,6180,19
PART,3,3670838,14111,4
PART,4,6576946,6737,29
PART,5,4716513,33631,19
PART,6,3940189,42528,8
PART,7,4929244,600,5
PART,8,4331406,11497,31
PART,9,6510513,43325,11
PART,0,4050756,9009,9
PART,1,4221460,51677,16
PART,2,3891919,6198,19
PART,3,3669054,14105,4
PART,4,6577000,6705,29
PART,5,4715352,33536,19
PART,6,3940459,42552,8
PART,7,4928513,590,5
PART,8,4331135,11493,31
PART,9,6508946,43309,11
PART,0,4049243,8990,9
PART,1,4230000,51815,16
PART,2,3893189,6188,19
PART,3,3669081,14108,4
PART,4,6577784,6695,29
PART,5,4717270,33635,19
PART,6,3940622,42549,8
PART,7,4929217,597,5
PART,8,4330838,16533,31
PART,9,6507433,43228,11
PART,0,4051460,8963,9
PART,1,4225108,51533,16
PART,2,3893135,6182,19
PART,3,3669244,14106,4
PART,4,6575811,6726,29
PART,5,4714162,33530,19
PART,6,3940270,42547,8
PART,7,4928973,599,5
PART,8,4331703,14444,31
PART,9,6511244,43340,11
PART,0,4058216,9096,9
PART,1,4195973,51140,16
PART,2,3893108,6183,19
PART,3,3669162,14111,4
PART,4,6578811,6716,29
PART,5,4715919,33584,19
PART,6,3940244,42539,8
PART,7,4928973,600,5
PART,8,4331676,11462,31
PART,9,6510405,43296,11
PART,0,4050730,9012,9
PART,1,4232352,51648,16
PART,2,3893378,6194,19
PART,3,3671405,14102,4
PART,4,6577000,6728,29
PART,5,4716541,33600,19
PART,6,3941027,42555,8
PART,7,4928595,602,5
PART,8,4331946,11521,31
PART,9,6510351,43321,11
PART,0,4052189,9030,9
PART,1,4222784,51612,16
PART,2,3892594,6186,19
PART,3,3669324,14113,4
PART,4,6576648,6721,29
PART,5,4716622,33545,19
PART,6,3943081,42553,8
PART,7,4929027,600,5
PART,8,4331379,11498,31
PART,9,6510000,43237,11
PART,0,4054162,9057,9
PART,1,4228432,51737,16
PART,2,3949568,6236,19
PART,3,3669027,14108,4
PART,4,6577622,6716,29
PART,5,4716513,33593,19
PART,6,3945325,42543,8
PART,7,4929000,587,5
PART,8,4331757,11497,31
PART,9,6509135,43329,11
PART,0,4052135,9032,9
PART,1,4229162,51602,16
PART,2,3892703,6178,19
PART,3,3668837,14114,4
PART,4,6575595,6700,29
PART,5,4716351,33637,19
PART,6,3950676,42544,8
PART,7,4928622,607,5
PART,8,4330541,11481,31
PART,9,6508973,43238,11
PART,0,4052460,9040,9
PART,1,4221919,51567,16
PART,2,3890811,6179,19
PART,3,3669108,14106,4
PART,4,6574730,6716,29
PART,5,4717270,33597,19
PART,6,3953027,42528,8
PART,7,4929054,600,5
PART,8,4330675,15240,31
PART,9,6507892,43317,11
PART,0,4049622,9009,9
PART,1,4226351,51759,16
PART,2,3950973,6266,19
PART,3,3669081,14100,4
PART,4,6575297,6718,29
PART,5,4714865,33584,19
PART,6,3954108,42542,8
PART,7,4928757,582,5
PART,8,4331649,14768,31
PART,9,6511351,43318,11
PART,0,4060081,9054,9
PART,1,4232919,51745,16
PART,2,3890973,6176,19
PART,3,3669081,14109,4
PART,4,6577622,6722,29
PART,5,4714216,33594,19
PART,6,3953486,42513,8
PART,7,4929270,594,5
PART,8,4331216,11439,31
PART,9,6510919,43258,11
PART,0,4051216,9016,9
PART,1,4203082,51225,16
PART,2,3893216,6181,19
PART,3,3669675,14110,4
PART,4,6574757,6707,29
PART,5,4713810,33586,19
PART,6,3953081,42553,8
PART,7,4928973,592,5
PART,8,4330648,11477,31
PART,9,6509567,43313,11
PART,0,4051000,9020,9
PART,1,4228298,51711,16
PART,2,3892432,6184,19
PART,3,3668838,14108,4
PART,4,6575837,6725,29
PART,5,4713946,33599,19
PART,6,3953756,42542,8
PART,7,4929027,594,5
PART,8,4330514,11477,31
PART,9,6510109,43302,11
PART,0,4052189,9016,9
PART,1,4229702,51874,16
PART,2,3890595,6171,19
PART,3,3669135,14114,4
PART,4,6577865,6691,29
PART,5,4716297,33603,19
PART,6,3953189,42505,8
PART,7,4928730,593,5
PART,8,4330810,13988,31
PART,9,6509081,43261,11
PART,0,4051486,9019,9
PART,1,4222000,51761,16
PART,2,3891000,6174,19
PART,3,3669000,14112,4
PART,4,6574027,6697,29
PART,5,4715568,33596,19
PART,6,3952837,42532,8
PART,7,4929676,594,5
PART,8,4330702,11483,31
PART,9,6509054,43322,11
PART,0,4050352,8970,9
PART,1,4226297,51557,16
PART,2,3951865,6245,19
PART,3,3669189,14117,4
PART,4,6575406,6703,29
PART,5,4719136,33633,19
PART,6,3954324,42557,8
PART,7,4929135,600,5
PART,8,4331405,14003,31
PART,9,6508055,43328,11
PART,0,4050702,9025,9
PART,1,4230459,51802,16
PART,2,3895027,6210,19
PART,3,3668676,14105,5
PART,4,6576514,6717,29
PART,5,4719000,33582,19
PART,6,3954135,42574,8
PART,7,4928513,593,5
PART,8,4331540,16315,31
PART,9,6508919,43313,11
PART,0,4050109,9026,9
PART,1,4226892,51650,16
PART,2,3951486,6240,19
PART,3,3669000,14108,4
PART,4,6578946,6726,29
PART,5,4717081,33629,19
PART,6,3953459,42554,8
PART,7,4928514,586,5
PART,8,4332135,11460,31
PART,9,6510595,43308,11
PART,0,4051190,9031,9
PART,1,4225567,51584,16
PART,2,3892837,6194,19
PART,3,3668811,14106,4
PART,4,6578027,6706,29
PART,5,4717054,33602,19
PART,6,3953811,42543,8
PART,7,4928865,597,5
PART,8,4330648,11477,31
PART,9,6510919,43291,11
PART,0,4052270,9004,9
PART,1,4224243,51624,16
PART,2,3892892,6178,19
PART,3,3669432,14104,4
PART,4,6576000,6675,29
PART,5,4714865,33588,19
PART,6,3954027,42543,8
PART,7,4930460,604,5
PART,8,4330676,11487,31
PART,9,6509892,43299,11
PART,0,4051622,8998,9
PART,1,4229405,51657,16
PART,2,3892567,6182,19
PART,3,3668730,14104,4
PART,4,6574784,6705,29
PART,5,4718540,33626,19
PART,6,3953432,42537,8
PART,7,4929405,607,5
PART,8,4330811,11490,31
PART,9,6510216,43339,11
PART,0,4050892,9019,9
PART,1,4226919,51604,16
PART,2,3949352,6233,19
PART,3,3668730,14102,4
PART,4,6576351,6705,29
PART,5,4716297,33659,19
PART,6,3953325,42527,8
PART,7,4929108,606,5
PART,8,4330379,11487,31
PART,9,6509676,43329,11
PART,0,4050702,9038,9
PART,1,4225324,51782,16
PART,2,3890514,6181,19
PART,3,3668675,14105,4
PART,4,6576919,6695,29
PART,5,4717054,33642,19
PART,6,3953189,42537,8
PART,7,4928919,596,5
PART,8,4330702,16490,31
PART,9,6509027,43246,11
PART,0,4049946,8982,9
PART,1,4223486,51584,16
PART,2,3893784,6191,19
PART,3,3668864,14105,4
PART,4,6576351,6702,29
PART,5,4718270,33642,19
PART,6,3954703,42555,8
PART,7,4929405,592,5
PART,8,4331000,13987,31
PART,9,6511243,43313,11
PART,0,4051541,9021,9
PART,1,4236162,51815,16
PART,2,3890432,6177,19
PART,3,3668676,14120,4
PART,4,6575946,6704,29
PART,5,4717081,33562,19
PART,6,3953460,42554,8
PART,7,4929270,621,5
PART,8,4330702,16485,31
PART,9,6510406,43239,11
PART,0,4050027,8999,9
PART,1,4224675,51782,16
PART,2,3892325,6185,19
PART,3,3671216,14103,4
PART,4,6577351,6714,29
PART,5,4714730,33605,19
PART,6,3953703,42550,8
PART,7,4928865,595,5
PART,8,4330702,13240,31
PART,9,6510486,43328,11
PART,0,4049919,8973,9
PART,1,4231433,51786,16
PART,2,3890054,6175,19
PART,3,3669108,14107,4
PART,4,6578163,6709,29
PART,5,4717784,33632,19
PART,6,3953351,42535,8
PART,7,4928540,586,5
PART,8,4331730,12755,31
PART,9,6511568,43301,11
PART,0,4051811,9012,9
PART,1,4213730,51274,16
PART,2,3892594,6195,19
PART,3,3668811,14109,4
PART,4,6578027,6750,29
PART,5,4714865,33638,19
PART,6,3954000,42575,8
PART,7,4929784,610,5
PART,8,4331568,11493,31
PART,9,6508568,43237,11
PART,0,4051567,9005,9
PART,1,4226594,51594,16
PART,2,3891703,6203,19
PART,3,3673216,14119,4
PART,4,6577216,6736,29
PART,5,4717298,33600,19
PART,6,3954487,42553,8
PART,7,4928865,605,5
PART,8,4332054,11457,31
PART,9,6509757,43318,11
PART,0,4052243,9042,9
PART,1,4225054,51775,16
PART,2,3891433,6198,19
PART,3,3670703,14109,4
PART,4,6577135,6700,29
PART,5,4716541,33564,19
PART,6,3953757,42551,8
PART,7,4929000,598,5
PART,8,4331595,11508,31
PART,9,6509757,43329,11
PART,0,4052622,9067,9
PART,1,4221892,51567,16
PART,2,3891595,6185,19
PART,3,3668946,14112,4
PART,4,6576297,6725,29
PART,5,4714217,33529,19
PART,6,3953270,42553,8
PART,7,4928514,604,5
PART,8,4331784,14005,31
PART,9,6508756,43256,11
PART,0,4054541,9047,9
PART,1,4226838,51794,16
PART,2,3891216,6182,19
PART,3,3668649,14104,4
PART,4,6576135,6711,29
PART,5,4719190,33642,19
PART,6,3954460,42536,8
PART,7,4928649,590,5
PART,8,4331676,11502,31
PART,9,6511460,43267,11
PART,0,4050811,9047,9
PART,1,4229352,51613,16
PART,2,3893648,6187,19
PART,3,3671000,14113,4
PART,4,6576568,6753,29
PART,5,4714595,33615,19
PART,6,3953378,42548,8
PART,7,4929324,598,5
PART,8,4331865,16499,31
PART,9,6508783,43325,11
PART,0,4049703,9023,9
PART,1,4227379,51638,16
PART,2,3891649,6178,19
PART,3,3668919,14118,4
PART,4,6575892,6712,29
PART,5,4717216,33632,19
PART,6,3953757,42543,8
PART,7,4928783,597,5
PART,8,4330540,16485,31
PART,9,6510486,43258,11
PART,0,4052162,9045,9
PART,1,4230703,51618,16
PART,2,3891297,6180,19
PART,3,3671163,14099,4
PART,4,6575811,6725,29
PART,5,4715676,33598,19
PART,6,3953540,42536,8
PART,7,4928541,606,5
PART,8,4330649,16488,31
PART,9,6510703,43345,11
PART,0,4052432,8998,9
PART,1,4208216,51254,16
PART,2,3949756,6222,19
PART,3,3669487,14110,4
PART,4,6574919,6722,29
PART,5,4718027,33665,19
PART,6,3953325,42560,8
PART,7,4929811,596,5
PART,8,4330865,11487,31
PART,9,6508919,43250,11
PART,0,4050378,8985,9
PART,1,4223649,51734,16
PART,2,3892351,6186,19
PART,3,3669541,14124,4
PART,4,6574541,6692,29
PART,5,4715055,33631,19
PART,6,3953649,42549,8
PART,7,4928784,608,5
PART,8,4330811,11478,31
PART,9,6508973,43247,11
PART,0,4050541,8986,9
PART,1,4223297,51628,16
PART,2,3891730,6183,19
PART,3,3668432,14108,4
PART,4,6576946,6707,29
PART,5,4714622,33588,19
PART,6,3953352,42525,8
PART,7,4928784,597,5
PART,8,4330703,11482,31
PART,9,6507838,43318,11
PART,0,4050486,9011,9
PART,1,4226649,51597,16
PART,2,3890730,6180,19
PART,3,3668946,14103,4
PART,4,6575757,6702,29
PART,5,4716243,33605,19
PART,6,3915324,41874,8
PART,7,4929405,597,5
PART,8,4330784,11446,31
PART,9,6511297,43222,11
PART,0,4051757,9022,9
PART,1,4226540,51632,16
PART,2,3890703,6176,19
PART,3,3669054,14107,4
PART,4,6576297,6695,29
PART,5,4713324,33577,19
PART,6,3868108,41045,8
PART,7,4928892,590,5
PART,8,4330783,12819,31
PART,9,6507946,43228,11
PART,0,4049459,8990,9
PART,1,4230055,51679,16
PART,2,3893189,6183,19
PART,3,3669379,14118,4
PART,4,6574919,6709,29
PART,5,4715540,33535,19
PART,6,3867784,41048,8
PART,7,4928946,599,5
PART,8,4330838,16483,31
PART,9,6510649,43298,11
PART,0,4049757,9037,9
PART,1,4227270,51580,16
PART,2,3893351,6196,19
PART,3,3669379,14104,4
PART,4,6575730,6704,29
PART,5,4717270,33624,19
PART,6,3867460,41042,8
PART,7,4928594,591,5
PART,8,4332108,11467,31
PART,9,6510027,43275,11
PART,0,4052973,9040,9
PART,1,4231649,51689,16
PART,2,3893297,6197,19
PART,3,3669460,14114,4
PART,4,6576486,6726,29
PART,5,4715108,33653,19
PART,6,3867189,41045,8
PART,7,4929324,591,5
PART,8,4331703,15254,31
PART,9,6510676,43261,11
PART,0,4057541,9056,9
PART,1,4231081,51738,16
PART,2,3892270,6177,19
PART,3,3669378,14107,4
PART,4,6574649,6708,29
PART,5,4715541,33633,19
