Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4052135,9030,9
PART,1,4238162,51684,16
PART,2,3897243,6186,19
PART,3,3669136,14117,4
PART,4,6583838,6716,29
PART,5,4721108,33603,19
PART,6,3989622,42825,8
PART,7,4928918,591,5
PART,8,4333460,16490,31
PART,9,6512405,43339,11
PART,0,4051648,8997,9
PART,1,4230000,51538,16
PART,2,3895513,6177,19
PART,3,3669298,14107,4
PART,4,6581379,6709,29
PART,5,4721270,33659,19
PART,6,3940459,42543,8
PART,7,4929324,596,5
PART,8,4333594,16488,31
PART,9,6510837,43251,11
PART,0,4051027,9027,9
PART,1,4233108,51649,16
PART,2,3895189,6175,19
PART,3,3668973,14110,4
PART,4,6584054,6701,29
PART,5,4720756,33603,19
PART,6,3940757,42548,8
PART,7,4928892,602,5
PART,8,4333460,16490,31
PART,9,6511135,43260,11
PART,0,4053783,9051,9
PART,1,4233324,51766,16
PART,2,3893811,6170,19
PART,3,3669189,14107,4
PART,4,6582513,6695,29
PART,5,4720000,33630,19
PART,6,3941324,42549,8
PART,7,4928649,597,5
PART,8,4333622,16493,31
PART,9,6509946,43293,11
PART,0,4050675,9026,9
PART,1,4230648,51571,16
PART,2,3893027,6165,19
PART,3,3671460,14105,4
PART,4,6583459,6732,29
PART,5,4718405,33611,19
PART,6,3941081,42537,8
PART,7,4929054,597,5
PART,8,4334459,16506,31
PART,9,6510189,43216,11
PART,0,4050514,9031,9
PART,1,4229244,51743,16
PART,2,3896864,6176,19
PART,3,3669298,14115,4
PART,4,6584838,6704,29
PART,5,4720432,33594,19
PART,6,3941487,42551,8
PART,7,4929162,595,5
PART,8,4334189,11498,31
PART,9,6509865,43244,11
PART,0,4051514,9024,9
PART,1,4230189,51710,16
PART,2,3897081,6192,19
PART,3,3669189,14113,5
PART,4,6582460,6710,29
PART,5,4718811,33577,19
PART,6,3940756,42541,8
PART,7,4929405,594,5
PART,8,4334595,11495,31
PART,9,6508568,43321,11
PART,0,4052108,9021,9
PART,1,4226649,51730,16
PART,2,3896297,6190,19
PART,3,3669703,14114,4
PART,4,6584730,6726,29
PART,5,4718514,33588,19
PART,6,3940730,42542,8
PART,7,4928919,596,5
PART,8,4334621,11496,31
PART,9,6508729,43330,11
PART,0,4098081,9048,9
PART,1,4234379,51612,16
PART,2,3896352,6180,19
PART,3,3673919,14131,4
PART,4,6586676,6719,29
PART,5,4723648,33587,19
PART,6,3941595,42547,8
PART,7,4929162,593,5
PART,8,4334540,15252,31
PART,9,6516108,43241,11
PART,0,4052432,8975,9
PART,1,4241405,51757,16
PART,2,3896757,6208,19
PART,3,3669730,14115,4
PART,4,6584756,6745,29
PART,5,4724595,33602,19
PART,6,3940541,42550,8
PART,7,4929568,597,5
PART,8,4335730,16514,31
PART,9,6514595,43301,11
PART,0,4053054,9039,9
PART,1,4237405,51599,16
PART,2,3898729,6213,19
PART,3,3669378,14100,4
PART,4,6586108,6739,29
PART,5,4725027,33613,19
PART,6,3940730,42551,8
PART,7,4929162,594,5
PART,8,4334621,16036,31
PART,9,6515054,43241,11
PART,0,4053919,9036,9
PART,1,4236811,51850,16
PART,2,3898594,6197,19
PART,3,3669081,14105,4
PART,4,6586081,6751,29
PART,5,4718648,33620,19
PART,6,3944351,42562,8
PART,7,4929459,596,5
PART,8,4335054,12753,31
PART,9,6521676,43292,11
PART,0,4052621,9015,9
PART,1,4230055,51645,16
PART,2,3899892,6200,19
PART,3,3669757,14113,4
PART,4,6582784,6711,29
PART,5,4720217,33587,19
PART,6,3942973,42538,8
PART,7,4930270,600,5
PART,8,4335162,16476,31
PART,9,6517729,43288,11
PART,0,4052648,9034,9
PART,1,4219162,51184,16
PART,2,3896702,6177,19
PART,3,3669811,14106,4
PART,4,6589649,6718,29
PART,5,4723810,33543,19
PART,6,3945892,42538,8
PART,7,4928891,593,5
PART,8,4333378,11480,31
PART,9,6513081,43272,11
PART,0,4053216,9002,9
PART,1,4247270,51582,16
PART,2,3896622,6181,19
PART,3,3672649,14125,4
PART,4,6584378,6715,29
PART,5,4721378,33587,19
PART,6,3950459,42529,8
PART,7,4929162,587,5
PART,8,4334163,12747,31
PART,9,6520325,43312,11
PART,0,4057757,9085,9
PART,1,4242811,51671,16
PART,2,3955027,6239,19
PART,3,3669838,14108,4
PART,4,6583108,6686,29
PART,5,4724919,33614,19
PART,6,3953189,42536,8
PART,7,4930082,606,5
PART,8,4334162,15241,31
