Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4103216,9569,9
PART,1,4673919,54301,16
PART,2,5298351,22207,19
PART,3,3670189,14195,4
PART,4,6603594,7258,29
PART,5,4761595,34142,19
PART,6,3994513,42949,8
PART,7,4929351,624,5
PART,8,4331756,16497,31
PART,9,6516702,43365,11
PART,0,4105757,9609,9
PART,1,4672324,54278,16
PART,2,5406865,22392,19
PART,3,3670864,14197,4
PART,4,6603081,7313,29
PART,5,4757190,34107,19
PART,6,3943297,42656,8
PART,7,4930325,639,5
PART,8,4331378,16484,31
PART,9,6520027,43446,11
PART,0,4103325,9572,9
PART,1,4666108,54213,16
PART,2,5299783,22240,19
PART,3,3670135,14173,4
PART,4,6602271,7247,29
PART,5,4760675,34122,19
PART,6,3943730,42649,8
PART,7,4929351,635,5
PART,8,4332595,16508,31
PART,9,6519243,43460,11
PART,0,4103540,9610,9
PART,1,4674459,54279,16
PART,2,5303324,22271,19
PART,3,3670163,14171,4
PART,4,6604810,7286,29
PART,5,4761000,34165,19
PART,6,3944351,42642,8
PART,7,4929162,626,5
PART,8,4332919,16512,31
PART,9,6518648,43386,11
PART,0,4103433,9611,9
PART,1,4683595,54437,16
PART,2,5298919,22249,19
PART,3,3670676,14173,4
PART,4,6601757,7249,29
PART,5,4759000,33997,19
PART,6,3944865,42678,8
PART,7,4929513,625,5
PART,8,4332541,16516,31
PART,9,6518487,43451,11
PART,0,4103432,9617,9
PART,1,4668540,54278,16
PART,2,5405919,22360,19
PART,3,3670811,14165,4
PART,4,6603054,7261,29
PART,5,4757730,34230,19
PART,6,3944216,42677,8
PART,7,4929243,626,5
PART,8,4332405,16503,31
PART,9,6517486,43414,11
PART,0,4103432,9638,9
PART,1,4667838,54267,16
PART,2,5302243,22276,19
PART,3,3670244,14189,4
PART,4,6603784,7280,29
PART,5,4758486,34076,19
PART,6,3945000,42690,8
PART,7,4929865,646,5
PART,8,4332676,16514,31
PART,9,6517703,43386,11
PART,0,4104324,9566,9
PART,1,4677703,54525,16
PART,2,5302108,22266,19
PART,3,3666811,14171,4
PART,4,6601919,7280,29
PART,5,4756594,34053,19
PART,6,3944378,42634,8
PART,7,4929595,612,5
PART,8,4332243,16518,31
PART,9,6517486,43465,11
PART,0,4103973,9584,9
PART,1,4665541,54329,16
PART,2,5404459,22363,19
PART,3,3670783,14191,4
PART,4,6601946,7248,29
PART,5,4758054,34207,19
PART,6,3944135,42638,8
PART,7,4929216,626,5
PART,8,4332703,16505,31
PART,9,6519919,43388,11
PART,0,4105027,9622,9
PART,1,4665973,54133,16
PART,2,5402243,22347,19
PART,3,3670784,14198,4
PART,4,6600406,7249,29
PART,5,4760486,34112,19
PART,6,3944973,42675,8
PART,7,4929838,621,5
PART,8,4332892,15262,31
PART,9,6520054,43449,11
PART,0,4104567,9602,9
PART,1,4672649,54227,16
PART,2,5407216,22372,19
PART,3,3670541,14176,4
PART,4,6604054,7300,29
PART,5,4759162,34067,19
PART,6,3944406,42648,8
PART,7,4929973,627,5
PART,8,4331486,16487,31
PART,9,6520162,43454,11
PART,0,4105351,9568,9
PART,1,4671783,54389,16
PART,2,5299054,22233,19
PART,3,3670190,14174,4
PART,4,6600649,7255,29
PART,5,4759189,34096,19
PART,6,3944432,42640,8
PART,7,4929514,631,5
PART,8,4331649,16494,31
PART,9,6518351,43392,11
PART,0,4103810,9619,9
PART,1,4677676,54326,16
PART,2,5301514,22228,19
PART,3,3670000,14169,4
PART,4,6599108,7214,29
PART,5,4758351,34046,19
PART,6,3946108,42641,8
PART,7,4929568,625,5
PART,8,4331189,16482,31
PART,9,6517594,43407,11
PART,0,4103675,9587,9
PART,1,4664568,54240,16
PART,2,5300054,22214,19
PART,3,3670460,14153,4
PART,4,6601162,7236,29
PART,5,4758784,34132,19
PART,6,3950108,42665,8
PART,7,4930027,634,5
PART,8,4331568,16518,31
PART,9,6516676,43393,11
PART,0,4104432,9587,9
PART,1,4675351,54457,16
PART,2,5404973,22388,19
PART,3,3670217,14189,4
PART,4,6603324,7258,29
PART,5,4759054,34143,19
PART,6,3954297,42662,8
PART,7,4929486,629,5
PART,8,4331486,16485,31
PART,9,6520081,43433,11
PART,0,4103702,9581,9
PART,1,4667514,54471,16
PART,2,5298730,22255,19
PART,3,3670865,14192,5
PART,4,6601649,7273,29
PART,5,4761135,34102,19
PART,6,3956865,42681,8
PART,7,4929487,620,5
PART,8,4331756,16494,31
PART,9,6520270,43403,11
PART,0,4104729,9580,9
PART,1,4674784,54316,16
PART,2,5301946,22246,19
PART,3,3666540,14216,4
PART,4,6602703,7241,29
PART,5,4758729,34100,19
PART,6,3957243,42664,8
PART,7,4929135,612,5
PART,8,4331486,16482,31
PART,9,6520108,43399,11
PART,0,4103784,9601,9
PART,1,4662810,54348,16
PART,2,5406703,22364,19
PART,3,3669865,14188,4
PART,4,6601594,7218,29
PART,5,4758784,34103,19
PART,6,3957189,42676,8
PART,7,4930054,634,5
PART,8,4331433,16489,31
PART,9,6519324,43455,11
PART,0,4104325,9584,9
PART,1,4664297,54243,16
PART,2,5301541,22244,19
PART,3,3670162,14179,4
PART,4,6601487,7256,29
PART,5,4760946,34171,19
PART,6,3957054,42640,8
PART,7,4929486,629,5
PART,8,4331649,16487,31
PART,9,6520027,43484,11
PART,0,4105756,9590,9
PART,1,4666081,54273,16
PART,2,5300649,22259,19
PART,3,3670757,14190,4
PART,4,6603189,7271,29
PART,5,4760136,34173,19
PART,6,3957189,42665,8
PART,7,4929405,629,5
PART,8,4331270,16486,31
PART,9,6519487,43431,11
PART,0,4102946,9615,9
PART,1,4677676,54315,16
PART,2,5299135,22236,19
PART,3,3666433,14193,4
PART,4,6601378,7267,29
PART,5,4758811,34205,19
PART,6,3956837,42686,8
PART,7,4929838,629,5
PART,8,4331190,16511,31
PART,9,6517729,43442,11
PART,0,4102865,9569,9
PART,1,4670000,54353,16
PART,2,5297621,22227,19
PART,3,3670108,14194,4
PART,4,6602460,7232,29
PART,5,4758865,34170,19
PART,6,3957865,42671,8
PART,7,4930351,645,5
PART,8,4331324,16476,31
PART,9,6516757,43418,11
PART,0,4102703,9602,9
PART,1,4668540,54300,16
PART,2,5410730,22382,19
PART,3,3666973,14179,4
PART,4,6602460,7239,29
PART,5,4758675,34057,19
PART,6,3957757,42644,8
PART,7,4929675,622,5
PART,8,4331541,16493,31
PART,9,6517081,43367,11
PART,0,4102946,9588,9
PART,1,4667838,54214,16
PART,2,5300811,22232,19
PART,3,3671054,14168,4
PART,4,6601892,7265,29
PART,5,4757325,34044,19
PART,6,3957054,42661,8
PART,7,4929432,630,5
PART,8,4331108,16490,31
PART,9,6520135,43356,11
PART,0,4102892,9559,9
PART,1,4669405,54432,16
PART,2,5298622,22288,19
PART,3,3665784,14165,4
PART,4,6602216,7269,29
PART,5,4756811,34142,19
PART,6,3958135,42673,8
PART,7,4929162,626,5
PART,8,4332325,16517,31
PART,9,6519757,43376,11
PART,0,4104595,9594,9
PART,1,4676702,54432,16
PART,2,5299217,22257,19
PART,3,3670135,14165,4
PART,4,6604540,7312,29
PART,5,4759541,34049,19
PART,6,3957892,42684,8
PART,7,4929109,624,5
PART,8,4332027,16514,31
PART,9,6519568,43409,11
PART,0,4104190,9617,9
PART,1,4660703,54233,16
PART,2,5298702,22241,19
PART,3,3666406,14172,4
PART,4,6599081,7245,29
PART,5,4757108,34197,19
PART,6,3957811,42666,8
PART,7,4929324,632,5
PART,8,4332892,16503,31
PART,9,6519081,43403,11
PART,0,4104081,9596,9
PART,1,4670675,54249,16
PART,2,5300351,22257,19
PART,3,3670676,14187,4
PART,4,6605135,7278,29
PART,5,4760216,34181,19
PART,6,3957513,42652,8
PART,7,4929784,637,5
PART,8,4332216,16518,31
PART,9,6518514,43331,11
PART,0,4105649,9568,9
PART,1,4669244,54375,16
PART,2,5299838,22257,19
PART,3,3670892,14195,4
PART,4,6603811,7232,29
PART,5,4757838,34054,19
PART,6,3958054,42650,8
PART,7,4929865,624,5
PART,8,4332352,16493,31
PART,9,6518108,43439,11
PART,0,4103594,9620,9
PART,1,4668054,54243,16
PART,2,5300567,22234,19
PART,3,3670649,14172,4
PART,4,6602892,7241,29
PART,5,4758000,34098,19
PART,6,3958135,42638,8
PART,7,4929649,620,5
PART,8,4331703,16513,31
PART,9,6517459,43416,11
PART,0,4103811,9575,9
PART,1,4680811,54485,16
PART,2,5299297,22248,19
PART,3,3670919,14176,4
PART,4,6603459,7243,29
PART,5,4759054,34194,19
PART,6,3957163,42660,8
PART,7,4929217,637,5
PART,8,4331622,16483,31
PART,9,6517324,43449,11
PART,0,4107081,9634,9
PART,1,4677514,54391,16
PART,2,5299243,22216,19
PART,3,3670594,14186,4
PART,4,6602811,7221,29
PART,5,4758378,34140,19
PART,6,3957054,42631,8
PART,7,4929594,616,5
PART,8,4331243,16471,31
PART,9,6517243,43452,11
PART,0,4104567,9591,9
PART,1,4663460,54165,16
PART,2,5404919,22372,19
PART,3,3666298,14168,4
PART,4,6602730,7224,29
PART,5,4757568,34178,19
PART,6,3958000,42679,8
PART,7,4929973,628,5
PART,8,4331595,16489,31
PART,9,6520189,43429,11
PART,0,4102081,9568,9
PART,1,4670432,54389,16
PART,2,5301000,22257,19
PART,3,3670162,14201,4
PART,4,6603000,7246,29
PART,5,4759243,34130,19
PART,6,3957162,42665,8
PART,7,4929675,638,5
PART,8,4331703,16501,31
PART,9,6518459,43449,11
PART,0,4104216,9593,9
PART,1,4678351,54361,16
PART,2,5299487,22227,19
PART,3,3670675,14185,4
PART,4,6603784,7251,29
PART,5,4758325,34056,19
PART,6,3956919,42683,8
PART,7,4929298,619,5
PART,8,4331486,16494,31
PART,9,6518297,43431,11
PART,0,4103162,9536,9
PART,1,4670595,54464,16
PART,2,5400648,22342,19
PART,3,3672892,14185,5
PART,4,6602621,7280,29
PART,5,4757351,34200,19
PART,6,3957243,42669,8
PART,7,4930081,642,5
PART,8,4331729,16498,31
PART,9,6519568,43332,11
PART,0,4104325,9618,9
PART,1,4671811,54172,16
PART,2,5301406,22233,19
PART,3,3670243,14186,4
PART,4,6602108,7250,29
PART,5,4761865,34138,19
PART,6,3957270,42650,8
