Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4059730,1220,9
PART,1,4101459,1610,16
PART,2,3735244,3071,19
PART,3,3666621,307,4
PART,4,6531351,1904,29
PART,5,4663973,2366,19
PART,6,3990865,1309,8
PART,7,4929108,272,5
PART,8,4331406,9955,31
PART,9,6510865,7066,11
PART,0,4057432,1199,9
PART,1,4102730,1642,16
PART,2,3666432,1587,19
PART,3,3672270,285,5
PART,4,6510676,1635,29
PART,5,4648730,2246,19
PART,6,3942108,5089,8
PART,7,4928946,273,5
PART,8,4329865,9941,31
PART,9,6505027,6183,11
PART,0,4056891,1165,9
PART,1,4094378,1466,16
PART,2,3668919,1624,19
PART,3,3670297,286,4
PART,4,6507540,1608,29
PART,5,4649405,2227,19
PART,6,3943000,5094,8
PART,7,4929243,273,5
PART,8,4330082,9935,31
PART,9,6504703,6149,11
PART,0,4057784,1171,9
PART,1,4096811,1489,16
PART,2,3667568,1616,19
PART,3,3670135,286,5
PART,4,6504433,1590,29
PART,5,4651433,2250,19
PART,6,3942162,5097,8
PART,7,4929838,278,5
PART,8,4330378,9938,31
PART,9,6504730,6132,11
PART,0,4057865,1165,9
PART,1,4098216,1490,16
PART,2,3716702,1587,19
PART,3,3672351,286,6
PART,4,6505730,1598,29
PART,5,4650946,2252,19
PART,6,3942919,5100,8
PART,7,4929459,271,5
PART,8,4329919,9938,31
PART,9,6504486,6183,11
PART,0,4057081,1164,9
PART,1,4098081,1471,16
PART,2,3667757,1604,19
PART,3,3669514,286,4
PART,4,6506946,1600,29
PART,5,4649810,2246,19
PART,6,3941730,5100,8
PART,7,4928811,272,5
PART,8,4330271,9936,31
PART,9,6505892,6155,11
PART,0,4058270,1169,9
PART,1,4094595,1499,16
PART,2,3668487,1605,19
PART,3,3670081,285,5
PART,4,6505892,1594,29
PART,5,4650540,2259,19
PART,6,3942405,5097,8
PART,7,4929109,272,5
PART,8,4330162,9935,31
PART,9,6505892,6198,11
PART,0,4057730,1169,9
PART,1,4097811,1486,16
PART,2,3666324,1576,19
PART,3,3671811,285,4
PART,4,6507216,1604,29
