Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4055433,1106,9
PART,1,4033433,1338,16
PART,2,3838838,3046,19
PART,3,3667622,231,4
PART,4,6488135,1455,29
PART,5,4643892,2106,19
PART,6,3987946,1190,8
PART,7,4927432,175,5
PART,8,4328757,9921,31
PART,9,6508324,7005,11
PART,0,4040054,855,9
PART,1,3999109,744,16
PART,2,3718919,475,19
PART,3,3663162,127,4
PART,4,6476351,1222,29
PART,5,4592433,1544,19
PART,6,3937351,4751,8
PART,7,4925379,141,5
PART,8,4327513,9885,31
PART,9,6462757,1394,11
PART,0,4022433,532,9
PART,1,3988351,577,16
PART,2,3716541,443,19
PART,3,3658352,117,4
PART,4,6455378,1015,29
PART,5,4580568,1391,19
PART,6,3935513,4719,8
PART,7,4924838,116,5
PART,8,4327162,9882,31
PART,9,6461243,1245,11
PART,0,4015648,434,9
PART,1,3988379,548,16
PART,2,3717081,433,19
PART,3,3659919,110,4
PART,4,6454324,1001,29
PART,5,4576405,1376,19
PART,6,3934703,4710,8
PART,7,4924892,134,5
PART,8,4327027,9883,31
PART,9,6460730,1174,11
PART,0,4015108,427,9
PART,1,4019324,545,16
PART,2,3716676,432,19
PART,3,3662000,108,4
PART,4,6452027,981,29
PART,5,4570973,1320,19
PART,6,3934270,4695,8
PART,7,4924892,136,5
PART,8,4327190,9878,31
PART,9,6460649,1099,11
PART,0,4014892,425,9
PART,1,3984297,545,16
PART,2,3716784,437,19
PART,3,3661567,107,4
PART,4,6452676,981,29
PART,5,4571892,1323,19
PART,6,3934000,4705,8
PART,7,4924757,115,5
PART,8,4327648,9876,31
PART,9,6460297,1069,11
PART,0,4014919,425,9
PART,1,3982406,544,16
PART,2,3800973,421,19
PART,3,3662541,109,4
PART,4,6453406,971,29
PART,5,4571216,1331,19
PART,6,3933892,4710,8
PART,7,4924865,139,5
PART,8,4327513,9874,31
PART,9,6459784,1086,11
PART,0,4015487,431,9
PART,1,3990946,544,16
PART,2,3716784,421,19
PART,3,3664703,116,4
PART,4,6451297,965,29
PART,5,4574054,1336,19
PART,6,3933514,4708,8
PART,7,4924838,116,5
PART,8,4327162,9875,31
PART,9,6460757,1097,11
PART,0,4035459,686,9
PART,1,4013081,738,16
PART,2,3727865,607,19
PART,3,3664378,161,4
PART,4,6464405,1132,29
PART,5,4586405,1451,19
PART,6,3940648,4957,8
PART,7,4926757,189,5
PART,8,4332243,9942,31
PART,9,6478081,2396,11
PART,0,4034432,657,9
PART,1,4020081,562,16
PART,2,3723540,511,19
PART,3,3664216,149,4
PART,4,6465054,1085,29
PART,5,4579568,1388,19
PART,6,3940189,4916,8
PART,7,4926513,171,5
PART,8,4332622,9949,31
PART,9,6469351,1310,11
PART,0,4028189,623,9
PART,1,3997460,537,16
PART,2,3725891,501,19
PART,3,3659459,133,4
PART,4,6457946,1047,29
PART,5,4576486,1345,19
PART,6,3940459,4929,8
PART,7,4926000,165,5
PART,8,4332135,9930,31
PART,9,6467811,1357,11
PART,0,4030865,622,9
PART,1,4000054,534,16
PART,2,3806973,494,19
PART,3,3664892,136,4
PART,4,6459081,1045,29
PART,5,4577838,1384,19
PART,6,3939756,4920,8
PART,7,4925757,145,5
PART,8,4331054,9942,31
PART,9,6468352,1352,11
PART,0,4026595,558,9
PART,1,3998298,538,16
PART,2,3722514,492,19
PART,3,3662757,132,4
PART,4,6458730,1039,29
PART,5,4578811,1396,19
PART,6,3940406,4929,8
PART,7,4925540,146,5
PART,8,4331865,9943,31
PART,9,6473919,1315,11
PART,0,4022865,526,9
PART,1,3998946,530,16
PART,2,3720729,482,19
PART,3,3663081,130,4
PART,4,6461351,1055,29
PART,5,4581297,1409,19
PART,6,3944270,4923,8
PART,7,4925729,163,5
PART,8,4331459,9940,31
PART,9,6468865,1214,11
PART,0,4023648,510,9
PART,1,4000243,581,16
PART,2,3723054,485,19
PART,3,3660135,130,4
PART,4,6460135,1047,29
PART,5,4579405,1374,19
PART,6,3948217,4909,8
PART,7,4926351,166,5
PART,8,4331027,9941,31
PART,9,6467405,1197,11
PART,0,4018622,481,9
PART,1,3998567,592,16
PART,2,3722648,476,19
PART,3,3662892,132,4
PART,4,6462163,1057,29
PART,5,4579351,1399,19
PART,6,3956433,4937,8
PART,7,4925784,162,5
PART,8,4331675,9922,31
PART,9,6469811,1304,11
PART,0,4031081,669,9
PART,1,4010432,779,16
PART,2,3812487,637,19
PART,3,3661243,151,4
PART,4,6468729,1146,29
PART,5,4590892,1510,19
PART,6,3957162,4957,8
PART,7,4926945,178,5
PART,8,4333000,9957,31
PART,9,6470649,1843,11
PART,0,4027135,567,9
PART,1,4003216,598,16
PART,2,3722244,477,19
PART,3,3662946,134,5
PART,4,6463513,1080,29
PART,5,4580000,1395,19
PART,6,3953487,4936,8
PART,7,4926027,166,5
PART,8,4333081,9952,31
PART,9,6470135,1229,11
PART,0,4022324,497,9
PART,1,4006459,526,16
PART,2,3723271,480,19
PART,3,3658513,122,4
PART,4,6461351,1041,29
PART,5,4578460,1332,19
PART,6,3952027,4916,8
PART,7,4925784,147,5
PART,8,4332379,9939,31
PART,9,6468189,1164,11
PART,0,4018244,473,9
