Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4058216,1215,9
PART,1,4107189,1590,16
PART,2,3735432,3069,19
PART,3,3666324,301,4
PART,4,6528082,1894,29
PART,5,4660163,2359,19
PART,6,3990973,1309,8
PART,7,4928540,272,5
PART,8,4330676,9949,31
PART,9,6510865,7064,11
PART,0,4057217,1199,9
PART,1,4105946,1618,16
PART,2,3667892,1608,19
PART,3,3672298,285,4
PART,4,6511892,1621,29
PART,5,4649054,2239,19
PART,6,3941892,5085,8
PART,7,4929027,273,5
PART,8,4329649,9938,31
PART,9,6505405,6202,11
PART,0,4057460,1165,9
PART,1,4099892,1463,16
PART,2,3669541,1637,19
PART,3,3669973,283,4
PART,4,6507487,1597,29
PART,5,4647081,2215,19
PART,6,3942324,5098,8
PART,7,4928919,273,5
PART,8,4330054,9935,31
PART,9,6505216,6199,11
PART,0,4056622,1166,9
PART,1,4100189,1505,16
PART,2,3670135,1639,19
PART,3,3670243,286,5
PART,4,6505649,1582,29
PART,5,4651837,2239,19
PART,6,3942351,5085,8
PART,7,4928838,272,5
PART,8,4329919,9938,31
PART,9,6506784,6202,11
PART,0,4056919,1163,9
PART,1,4094324,1511,17
PART,2,3668108,1600,19
PART,3,3670162,286,4
PART,4,6506973,1588,29
PART,5,4651324,2245,19
PART,6,3941865,5105,8
PART,7,4929730,272,5
PART,8,4330243,9938,31
PART,9,6505216,6174,11
PART,0,4056270,1162,9
PART,1,4100217,1453,17
PART,2,3668514,1616,19
PART,3,3669702,282,4
PART,4,6504189,1590,29
PART,5,4649756,2240,19
PART,6,3942432,5089,8
PART,7,4929108,272,5
PART,8,4329810,9936,31
PART,9,6504838,6198,11
PART,0,4058810,1169,9
PART,1,4099702,1466,16
PART,2,3668513,1616,19
PART,3,3672000,282,5
PART,4,6507892,1585,29
PART,5,4652189,2248,19
PART,6,3942108,5096,8
PART,7,4929162,273,5
PART,8,4330243,9937,31
PART,9,6506054,6191,11
PART,0,4057054,1165,9
PART,1,4097568,1514,16
PART,2,3666676,1596,19
PART,3,3670135,288,4
PART,4,6504189,1584,29
PART,5,4654433,2259,19
PART,6,3941811,5094,8
PART,7,4929351,272,5
PART,8,4330216,9941,31
PART,9,6505297,6168,11
PART,0,4058054,1163,9
PART,1,4115081,1502,16
PART,2,3670973,1603,19
PART,3,3674405,285,5
PART,4,6508784,1589,29
PART,5,4657028,2244,19
PART,6,3942108,5098,8
PART,7,4930000,273,5
PART,8,4330487,9938,31
PART,9,6516622,6186,11
PART,0,4065162,1169,9
PART,1,4109865,1469,16
PART,2,3669270,1610,19
PART,3,3675298,286,5
PART,4,6510648,1580,29
PART,5,4661351,2255,19
PART,6,3942838,5086,8
PART,7,4929108,270,5
PART,8,4330136,9937,31
PART,9,6510108,6202,11
PART,0,4059838,1170,9
PART,1,4114433,1505,16
PART,2,3668243,1594,19
PART,3,3672405,286,4
PART,4,6512513,1584,29
PART,5,4660027,2256,19
PART,6,3942054,5091,8
PART,7,4928892,272,5
PART,8,4329838,9940,31
PART,9,6510973,6185,11
PART,0,4059243,1170,9
PART,1,4120243,1463,16
PART,2,3669892,1610,19
PART,3,3670109,285,4
PART,4,6508027,1594,29
PART,5,4657352,2243,19
PART,6,3943784,5104,8
PART,7,4929865,279,5
PART,8,4330054,9939,31
PART,9,6509405,6145,11
PART,0,4059729,1168,9
PART,1,4110892,1506,16
PART,2,3673703,1608,19
PART,3,3669675,286,4
PART,4,6510675,1589,29
PART,5,4656729,2255,19
PART,6,3943703,5086,8
PART,7,4928973,273,5
PART,8,4330054,9941,31
PART,9,6516054,6168,11
PART,0,4060378,1171,9
PART,1,4116216,1468,16
PART,2,3668946,1598,19
PART,3,3670217,284,5
PART,4,6507595,1589,29
PART,5,4659892,2259,19
PART,6,3947594,5091,8
PART,7,4931405,274,5
PART,8,4330108,9941,31
PART,9,6511108,6135,11
PART,0,4058513,1167,9
PART,1,4115594,1452,16
PART,2,3667946,1609,19
PART,3,3672162,282,4
PART,4,6509541,1593,29
PART,5,4655081,2247,19
PART,6,3951649,5100,8
PART,7,4929378,270,5
PART,8,4330136,9937,31
PART,9,6511784,6162,11
PART,0,4058487,1167,9
PART,1,4107405,1501,16
PART,2,3672594,1608,19
PART,3,3670082,282,4
PART,4,6506459,1585,29
PART,5,4657865,2257,19
PART,6,3955270,5095,8
PART,7,4929000,272,5
PART,8,4330027,9940,31
PART,9,6511567,6169,11
PART,0,4059513,1167,9
PART,1,4106459,1502,16
PART,2,3669243,1582,19
PART,3,3672189,284,4
PART,4,6509351,1587,29
PART,5,4655216,2253,19
PART,6,3955000,5085,8
PART,7,4930244,272,5
PART,8,4330432,9939,31
PART,9,6511892,6150,11
PART,0,4058540,1167,9
PART,1,4114244,1471,16
PART,2,3725027,1607,19
PART,3,3680000,279,4
PART,4,6510271,1585,29
PART,5,4659514,2242,19
PART,6,3955081,5085,8
PART,7,4929027,272,5
PART,8,4330730,9939,31
PART,9,6512135,6183,11
PART,0,4060460,1164,9
PART,1,4108433,1499,16
PART,2,3670865,1609,19
PART,3,3670351,285,4
PART,4,6506622,1586,29
PART,5,4659352,2252,19
PART,6,3956216,5102,8
PART,7,4929027,272,5
PART,8,4330216,9941,31
PART,9,6511082,6130,11
PART,0,4059568,1166,9
PART,1,4111298,1496,16
PART,2,3668838,1589,19
PART,3,3670216,285,4
PART,4,6507136,1590,29
PART,5,4657000,2255,19
PART,6,3955135,5088,8
PART,7,4929243,272,5
PART,8,4329946,9939,31
PART,9,6510784,6183,11
PART,0,4060189,1164,9
PART,1,4114054,1450,16
PART,2,3670243,1609,19
PART,3,3669973,285,4
PART,4,6508918,1587,29
PART,5,4657568,2241,19
PART,6,3956189,5095,8
PART,7,4929244,269,5
PART,8,4330081,9939,31
PART,9,6511892,6115,11
