Type,Id,ExecTime,l2Miss,tlbMiss
PART,1,4081081,1303,16
PART,2,3734406,3047,19
PART,3,3663541,196,4
PART,4,6468540,1240,29
PART,5,4638379,2050,19
PART,6,3985675,1158,8
PART,7,4925540,140,5
PART,8,4330703,9900,31
PART,9,6511891,6987,11
PART,0,4055027,1154,9
PART,1,4065405,1055,16
PART,2,3614486,468,19
PART,3,3661135,96,4
PART,4,6474487,1215,29
PART,5,4597729,1616,19
PART,6,3935135,4429,8
PART,7,4925189,111,5
PART,8,4328837,9884,31
PART,9,6460108,1071,11
PART,0,4025892,642,9
PART,1,4043486,697,16
PART,2,3614595,468,19
PART,3,3662838,116,4
PART,4,6462756,1084,29
PART,5,4575406,1367,19
PART,6,3934351,4600,8
PART,7,4925351,133,5
PART,8,4329000,9879,31
PART,9,6461135,971,11
PART,0,4020162,513,9
PART,1,4044163,712,16
PART,2,3613892,450,19
PART,3,3664730,113,5
PART,4,6460405,1066,29
PART,5,4576838,1361,19
PART,6,3933405,4587,8
PART,7,4925027,109,5
PART,8,4328973,9878,31
PART,9,6459081,871,11
PART,0,4018865,513,9
PART,1,4049027,700,16
PART,2,3612595,422,19
PART,3,3662405,109,4
PART,4,6462054,1077,29
PART,5,4572432,1322,19
PART,6,3933892,4667,8
PART,7,4924865,127,5
PART,8,4329135,9879,31
PART,9,6460594,855,11
PART,0,4020081,510,9
PART,1,4040729,676,16
PART,2,3613730,451,19
PART,3,3662676,112,5
PART,4,6461676,1066,29
PART,5,4569918,1296,19
PART,6,3933757,4669,8
PART,7,4924892,108,5
PART,8,4328919,9879,31
PART,9,6460352,786,11
PART,0,4018297,496,9
PART,1,4043054,712,16
PART,2,3614244,455,19
PART,3,3662487,106,4
PART,4,6460297,1049,29
PART,5,4571432,1312,19
PART,6,3933351,4666,8
PART,7,4924675,125,5
PART,8,4328703,9879,31
PART,9,6459892,800,11
PART,0,4019540,503,9
PART,1,4047892,697,16
PART,2,3612216,421,19
PART,3,3662648,111,4
PART,4,6461433,1066,29
PART,5,4570379,1309,19
PART,6,3933162,4665,8
PART,7,4925217,111,5
PART,8,4328838,9877,31
PART,9,6460433,821,11
PART,0,4018703,500,9
PART,1,4065649,853,16
PART,2,3620594,598,19
PART,3,3662513,127,4
PART,4,6474135,1224,29
PART,5,4583351,1458,19
PART,6,3943459,4816,8
PART,7,4926811,167,5
PART,8,4332648,9940,31
PART,9,6471433,1542,11
PART,0,4031459,695,9
PART,1,4055730,763,16
PART,2,3614622,484,19
PART,3,3664676,119,5
PART,4,6470540,1130,29
PART,5,4579892,1413,19
PART,6,3938108,4902,8
PART,7,4926243,143,5
PART,8,4331703,9918,31
PART,9,6464054,885,11
PART,0,4027648,640,9
PART,1,4044352,729,16
PART,2,3613406,447,19
PART,3,3658595,117,4
PART,4,6467378,1094,29
PART,5,4574622,1374,19
PART,6,3938000,4905,8
PART,7,4926081,141,5
PART,8,4331919,9922,31
PART,9,6461838,884,11
PART,0,4025081,620,9
PART,1,4060541,711,16
PART,2,3615162,469,19
PART,3,3662027,110,5
PART,4,6469351,1099,29
PART,5,4573837,1349,19
PART,6,3937703,4902,8
PART,7,4926189,158,5
PART,8,4331703,9919,31
PART,9,6464459,887,11
PART,0,4024595,581,9
PART,1,4055946,737,16
PART,2,3616729,490,19
PART,3,3662325,117,4
PART,4,6466838,1099,29
PART,5,4574216,1352,19
PART,6,3939135,4904,8
PART,7,4925541,154,5
PART,8,4330946,9909,31
PART,9,6463568,914,11
PART,0,4024540,569,9
PART,1,4051703,727,16
PART,2,3614946,466,19
PART,3,3662514,111,4
PART,4,6466730,1113,29
PART,5,4576648,1372,19
PART,6,3941162,4894,8
PART,7,4925243,150,5
PART,8,4330324,9911,31
PART,9,6464135,786,11
PART,0,4022135,559,9
PART,1,4055324,728,16
PART,2,3615351,472,19
PART,3,3662108,115,4
PART,4,6466298,1084,29
PART,5,4571811,1307,19
PART,6,3951163,4908,8
PART,7,4925945,161,5
PART,8,4330919,9903,31
PART,9,6462649,732,11
PART,0,4018919,527,9
PART,1,4049270,714,16
PART,2,3613865,465,19
PART,3,3664352,112,5
PART,4,6464486,1072,29
PART,5,4568054,1290,19
PART,6,3947757,4889,8
PART,7,4926000,142,5
PART,8,4332514,9913,31
PART,9,6461189,812,11
PART,0,4023054,560,9
PART,1,4061784,844,16
PART,2,3618460,550,19
PART,3,3662757,123,4
PART,4,6473136,1202,29
PART,5,4579892,1418,19
PART,6,3952135,4917,8
PART,7,4926919,157,5
PART,8,4333189,9952,31
PART,9,6470865,1391,11
PART,0,4035946,681,9
PART,1,4050676,665,16
PART,2,3614973,475,19
PART,3,3662324,115,4
PART,4,6464621,1118,29
PART,5,4567189,1281,19
PART,6,3950243,4906,8
PART,7,4926432,147,5
PART,8,4332973,9915,31
PART,9,6461946,874,11
PART,0,4020325,550,9
PART,1,4050027,593,16
PART,2,3614406,464,19
PART,3,3664973,118,4
PART,4,6462270,1082,29
PART,5,4564892,1261,19
PART,6,3950540,4903,8
PART,7,4926405,157,5
PART,8,4332459,9916,31
PART,9,6462649,912,11
PART,0,4020594,529,9
PART,1,4047811,611,17
PART,2,3616135,481,19
PART,3,3662595,114,4
PART,4,6464892,1094,29
PART,5,4565784,1262,19
PART,6,3950973,4906,8
PART,7,4926190,142,5
PART,8,4332540,9919,31
PART,9,6460567,834,11
PART,0,4023703,551,9
PART,1,4053541,601,17
PART,2,3666865,498,19
PART,3,3662918,117,5
PART,4,6464973,1096,29
PART,5,4565540,1249,19
PART,6,3951108,4891,8
PART,7,4926189,159,5
PART,8,4331487,9917,31
PART,9,6463054,877,11
PART,0,4023702,552,9
PART,1,4052946,596,16
PART,2,3615648,487,19
PART,3,3664837,120,4
PART,4,6463568,1077,29
PART,5,4565973,1273,19
PART,6,3950568,4905,8
PART,7,4926324,154,5
PART,8,4332135,9923,31
PART,9,6462162,907,11
PART,0,4020973,533,9
PART,1,4049351,601,16
PART,2,3615217,471,19
PART,3,3662703,119,4
PART,4,6463000,1070,29
PART,5,4565000,1262,19
PART,6,3951297,4905,8
PART,7,4926838,157,5
PART,8,4331838,9925,31
PART,9,6464000,838,11
PART,0,4019297,522,9
PART,1,4045271,586,16
PART,2,3615351,470,19
PART,3,3662432,114,4
PART,4,6465189,1081,29
PART,5,4563838,1245,19
PART,6,3951460,4904,8
PART,7,4926432,153,5
PART,8,4331459,9917,31
PART,9,6462162,849,11
PART,0,4020594,542,9
PART,1,4050567,642,16
PART,2,3618054,542,19
PART,3,3662703,124,4
PART,4,6464459,1111,29
PART,5,4571379,1308,19
PART,6,3951837,4913,8
PART,7,4926838,165,5
PART,8,4331892,9932,31
PART,9,6466324,1234,11
PART,0,4028379,614,9
PART,1,4047594,602,16
PART,2,3664540,475,19
PART,3,3662297,116,4
PART,4,6464405,1087,29
PART,5,4568541,1314,19
PART,6,3950162,4898,8
PART,7,4926325,164,5
PART,8,4333243,9921,31
PART,9,6463000,881,11
PART,0,4021027,558,9
PART,1,4048190,610,16
PART,2,3616027,473,19
PART,3,3662514,117,4
PART,4,6464027,1088,29
PART,5,4565621,1255,19
PART,6,3950054,4894,8
PART,7,4926163,139,5
PART,8,4332378,9913,31
PART,9,6460432,897,11
PART,0,4020243,549,9
PART,1,4052351,614,16
PART,2,3618243,488,19
PART,3,3662432,110,4
PART,4,6462757,1082,29
PART,5,4563216,1256,19
PART,6,3948568,4894,8
PART,7,4926324,160,5
PART,8,4333865,9920,31
PART,9,6460595,791,11
PART,0,4022919,550,9
PART,1,4049136,607,16
PART,2,3616162,506,19
PART,3,3662919,115,4
PART,4,6464325,1092,29
PART,5,4567432,1246,19
PART,6,3950324,4898,8
PART,7,4926865,151,5
PART,8,4331027,9910,31
PART,9,6461108,797,11
PART,0,4022243,537,9
PART,1,4051216,598,16
PART,2,3616270,487,19
PART,3,3664892,124,4
PART,4,6464784,1093,29
PART,5,4565027,1246,19
PART,6,3951135,4906,8
PART,7,4926216,159,5
PART,8,4332244,9918,31
PART,9,6463594,756,11
PART,0,4022270,548,9
PART,1,4049757,621,16
PART,2,3615325,461,19
PART,3,3665081,120,5
PART,4,6465541,1061,29
PART,5,4567460,1273,19
PART,6,3949378,4855,8
PART,7,4925865,139,5
PART,8,4333703,9907,31
PART,9,6462945,779,11
PART,0,4020541,536,9
PART,1,4048595,593,16
PART,2,3614352,460,19
PART,3,3662514,119,4
PART,4,6465055,1068,29
PART,5,4568298,1248,19
PART,6,3951946,4897,8
PART,7,4926216,136,5
PART,8,4332405,9917,31
PART,9,6461136,783,11
PART,0,4020594,538,9
PART,1,4051811,621,16
PART,2,3618568,542,19
PART,3,3662729,123,4
PART,4,6465271,1104,29
PART,5,4568595,1302,19
PART,6,3949892,4892,8
PART,7,4926946,169,5
PART,8,4332081,9923,31
PART,9,6466838,1231,11
PART,0,4026703,610,9
PART,1,4035486,618,16
PART,2,3614405,476,19
PART,3,3662730,124,5
PART,4,6463163,1087,29
PART,5,4566081,1290,19
PART,6,3950459,4903,8
PART,7,4925811,144,5
PART,8,4332054,9900,31
PART,9,6460838,846,11
PART,0,4020432,549,9
PART,1,4050162,591,16
PART,2,3616838,488,19
PART,3,3662838,118,4
