Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4061568,1207,9
PART,1,4065324,1620,16
PART,2,3838919,3070,19
PART,3,3670352,302,4
PART,4,6534027,1958,29
PART,5,4662297,2367,19
PART,6,3991162,1312,8
PART,7,4928649,268,5
PART,8,4329649,9957,31
PART,9,6513163,7061,11
PART,0,4067351,1177,9
PART,1,4045297,1482,16
PART,2,3778811,1774,19
PART,3,3669460,283,4
PART,4,6512216,1635,29
PART,5,4657216,2310,19
PART,6,3941838,5080,8
PART,7,4928784,268,5
PART,8,4328082,9938,31
PART,9,6509054,6738,11
PART,0,4059946,1155,9
PART,1,4040945,1436,16
PART,2,3778513,1771,19
PART,3,3665703,285,4
PART,4,6506135,1614,29
PART,5,4656702,2296,19
PART,6,3941973,5093,8
PART,7,4928649,267,5
PART,8,4328027,9935,31
PART,9,6508514,6737,11
PART,0,4060406,1162,9
PART,1,4060513,1431,16
PART,2,3778216,1775,19
PART,3,3669621,286,4
PART,4,6509757,1621,29
PART,5,4658567,2301,19
PART,6,3941730,5099,8
PART,7,4928757,268,5
PART,8,4328486,9935,31
PART,9,6508324,6738,11
PART,0,4060108,1158,9
PART,1,4040081,1433,16
PART,2,3778594,1768,19
PART,3,3669865,285,4
PART,4,6507865,1616,29
PART,5,4657567,2302,19
PART,6,3941513,5098,8
PART,7,4928541,267,5
PART,8,4328135,9936,31
PART,9,6507649,6739,11
PART,0,4061108,1156,9
PART,1,4044108,1432,16
PART,2,3778730,1762,19
PART,3,3669189,287,4
PART,4,6509541,1621,29
PART,5,4655162,2294,19
PART,6,3941243,5092,8
PART,7,4929000,273,5
PART,8,4328082,9936,31
PART,9,6507297,6737,11
PART,0,4059487,1155,9
PART,1,4061702,1430,16
PART,2,3778189,1777,19
PART,3,3675919,286,4
PART,4,6509162,1619,29
PART,5,4656784,2301,19
PART,6,3941973,5095,8
PART,7,4929081,270,5
PART,8,4328081,9935,31
PART,9,6506892,6720,11
PART,0,4060298,1158,9
PART,1,4061135,1391,16
PART,2,3778946,1770,19
PART,3,3669730,287,4
PART,4,6509243,1621,29
PART,5,4658000,2298,19
PART,6,3941730,5095,8
PART,7,4928351,277,5
PART,8,4328054,9938,31
PART,9,6507109,6738,11
PART,0,4061108,1152,9
PART,1,4043568,1427,16
PART,2,3863270,1763,19
PART,3,3669946,284,4
PART,4,6506892,1623,29
PART,5,4659973,2300,19
PART,6,3941162,5093,8
PART,7,4928379,269,5
PART,8,4328081,9936,31
PART,9,6508703,6738,11
PART,0,4060622,1157,9
PART,1,4045378,1432,16
PART,2,3779027,1752,19
PART,3,3669838,284,4
PART,4,6508622,1619,29
PART,5,4656000,2304,19
PART,6,3942459,5083,8
PART,7,4928595,269,5
PART,8,4328378,9935,31
PART,9,6508405,6737,11
PART,0,4060433,1161,9
PART,1,4044108,1436,16
PART,2,3778324,1768,19
PART,3,3669757,285,4
PART,4,6510433,1612,29
PART,5,4659378,2300,19
PART,6,3941459,5093,8
