Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4061865,1207,9
PART,1,4077973,1644,16
PART,2,3924756,3072,19
PART,3,3670838,303,4
PART,4,6535837,1952,29
PART,5,4663865,2368,19
PART,6,3991081,1314,8
PART,7,4928189,268,5
PART,8,4329162,9959,31
PART,9,6512298,7061,11
PART,0,4061459,1197,9
PART,1,4050297,1486,16
PART,2,3780190,1798,19
PART,3,3665513,285,4
PART,4,6508757,1632,29
PART,5,4659648,2307,19
PART,6,3941405,5093,8
PART,7,4928270,269,5
PART,8,4327865,9935,31
PART,9,6508081,6818,11
PART,0,4057703,1137,9
PART,1,4040838,1435,16
PART,2,3778459,1786,19
PART,3,3669757,285,4
PART,4,6507865,1606,29
PART,5,4655459,2303,19
PART,6,3941622,5090,8
PART,7,4928703,269,5
PART,8,4328189,9935,31
PART,9,6508946,6800,11
PART,0,4059162,1137,9
PART,1,4040675,1433,16
PART,2,3778892,1772,19
PART,3,3669594,287,4
PART,4,6508513,1604,29
PART,5,4657027,2304,19
PART,6,3941676,5098,8
PART,7,4928135,269,5
PART,8,4328352,9935,31
PART,9,6508541,6800,11
PART,0,4059324,1137,9
PART,1,4040082,1442,16
PART,2,3777865,1768,19
PART,3,3671568,287,4
PART,4,6506460,1606,29
PART,5,4656757,2297,19
PART,6,3942054,5087,8
PART,7,4929054,274,5
PART,8,4328081,9936,31
PART,9,6507567,6802,11
PART,0,4060351,1134,9
PART,1,4041459,1435,16
PART,2,3778703,1776,19
PART,3,3670027,289,4
PART,4,6507379,1606,29
PART,5,4656838,2305,19
PART,6,3941702,5091,8
PART,7,4928784,268,5
PART,8,4328000,9936,31
PART,9,6508108,6818,11
PART,0,4064676,1135,9
PART,1,4051541,1429,16
PART,2,3863379,1775,19
PART,3,3665729,286,4
PART,4,6506784,1605,29
PART,5,4656189,2302,19
PART,6,3942000,5083,8
PART,7,4929243,269,5
PART,8,4328108,9935,31
PART,9,6508352,6800,11
PART,0,4059676,1137,9
PART,1,4057054,1441,16
PART,2,3778919,1784,19
PART,3,3665676,290,4
PART,4,6506756,1603,29
PART,5,4657973,2304,19
PART,6,3941919,5094,8
PART,7,4928243,268,5
PART,8,4328162,9938,31
PART,9,6508108,6818,11
PART,0,4061730,1134,9
PART,1,4044460,1437,16
PART,2,3777783,1767,19
PART,3,3669514,289,4
PART,4,6506919,1607,29
PART,5,4655784,2296,19
PART,6,3942162,5099,8
PART,7,4928702,270,5
PART,8,4328108,9936,31
PART,9,6508541,6817,11
PART,0,4091568,1136,9
PART,1,4039784,1440,16
PART,2,3780189,1777,19
PART,3,3670540,288,4
PART,4,6507541,1608,29
PART,5,4655973,2295,19
PART,6,3941892,5095,8
PART,7,4928838,269,5
PART,8,4328351,9936,31
PART,9,6508243,6816,11
PART,0,4058649,1137,9
PART,1,4043270,1403,16
PART,2,3779216,1785,19
PART,3,3666838,288,4
PART,4,6506649,1606,29
PART,5,4657487,2302,19
PART,6,3941567,5088,8
PART,7,4928514,269,5
PART,8,4328270,9938,31
PART,9,6508946,6817,11
PART,0,4066783,1137,9
PART,1,4059675,1438,16
PART,2,3778703,1781,19
PART,3,3669541,284,4
PART,4,6507324,1612,29
PART,5,4655487,2299,19
PART,6,3942190,5085,8
PART,7,4928729,269,5
PART,8,4327865,9939,31
PART,9,6508325,6818,11
PART,0,4059891,1136,9
PART,1,4053432,1439,16
PART,2,3779675,1776,19
PART,3,3671622,288,4
PART,4,6508081,1614,29
PART,5,4654648,2296,19
PART,6,3944216,5085,8
PART,7,4928487,269,5
PART,8,4327811,9936,31
PART,9,6507567,6818,11
PART,0,4059162,1137,9
PART,1,4047082,1439,16
PART,2,3864757,1781,19
