Type,Id,ExecTime,l2Miss,tlbMiss
PART,0,4062189,1207,9
PART,1,4058379,1642,16
PART,2,3923540,3072,19
PART,3,3670081,302,4
PART,4,6536000,1951,29
PART,5,4663973,2368,19
PART,6,3990676,1305,8
PART,7,4928487,268,5
PART,8,4329432,9957,31
PART,9,6510433,7056,11
PART,0,4063486,1198,9
PART,1,4051864,1451,16
PART,2,3779892,1801,19
PART,3,3669649,288,4
PART,4,6511378,1642,29
PART,5,4654703,2295,19
PART,6,3941487,5097,8
PART,7,4928973,269,5
PART,8,4328000,9939,31
PART,9,6508487,6792,11
PART,0,4060244,1141,9
PART,1,4057162,1432,16
PART,2,3778919,1792,19
PART,3,3669702,288,5
PART,4,6509027,1619,29
PART,5,4654838,2293,19
PART,6,3941865,5092,8
PART,7,4928838,275,5
PART,8,4328027,9936,31
PART,9,6507460,6773,11
PART,0,4060433,1141,9
PART,1,4063811,1408,16
PART,2,3779108,1785,19
PART,3,3665973,288,4
PART,4,6508027,1615,29
PART,5,4656433,2292,19
PART,6,3941567,5094,8
PART,7,4928730,268,5
PART,8,4328055,9936,31
PART,9,6509135,6771,11
PART,0,4059621,1141,9
PART,1,4058702,1431,16
PART,2,3779919,1787,19
PART,3,3665838,286,4
PART,4,6507243,1614,29
PART,5,4655460,2293,19
PART,6,3941784,5097,8
PART,7,4929000,267,5
PART,8,4327892,9935,31
PART,9,6508892,6792,11
PART,0,4059244,1138,9
PART,1,4049351,1428,16
PART,2,3778918,1786,19
PART,3,3669460,285,4
PART,4,6508433,1618,29
PART,5,4655919,2295,19
PART,6,3941244,5095,8
PART,7,4928459,269,5
PART,8,4327973,9935,31
PART,9,6508352,6790,11
PART,0,4059189,1142,9
PART,1,4052081,1419,16
PART,2,3863622,1794,19
PART,3,3669891,287,4
PART,4,6507919,1619,29
PART,5,4656189,2290,19
PART,6,3941406,5091,8
PART,7,4928784,269,5
PART,8,4328432,9937,31
PART,9,6508324,6773,11
PART,0,4058675,1141,9
PART,1,4042622,1428,16
PART,2,3779378,1793,19
PART,3,3671649,288,4
PART,4,6508784,1615,29
PART,5,4655919,2302,19
PART,6,3942162,5089,8
PART,7,4928406,268,5
PART,8,4328297,9939,31
PART,9,6509027,6792,11
PART,0,4059243,1138,9
PART,1,4042000,1376,16
PART,2,3778298,1771,19
PART,3,3665568,286,4
PART,4,6507595,1617,29
PART,5,4655108,2296,19
